skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
HepG2_skew	[0.2,0.5)	dELS	2062271	2061767	470682.148	570659.240408	2059027	-135296.13903600973	4974576.593716979	95224	180427	316229	0.04624708660935481	1.4636226022447812e-4	0.04596021657931483	0.04653395663939479
HepG2_skew	[0.2,0.5)	non-cCRE	5595775	5592748	1226259.07	1504784.359082	5538647	-945043.7776055206	7214107.896547076	71416	192693	53074	0.012894123781493927	4.79375619791681e-5	0.012800166160014758	0.012988081402973096
HepG2_skew	[0.2,0.5)	pELS	343883	343577	67140.843	64527.309479	343438	37511.76204115865	1051916.4767714057	25020	87821	74732	0.07285157728614772	4.4347581264057585e-4	0.07198236469337219	0.07372078987892325
HepG2_skew	[0.5,1.0)	Other cCREs	141322	141205	35347.13	48151.9655	140283	-25763.620978487303	225944.40005283052	2745	5491	8840	0.019567588374927825	3.6980685690146616e-4	0.01884276693540095	0.0202924098144547
HepG2_skew	[0.5,1.0)	PLS	17858	17816	3254.745	2411.496203	17852	11937.740992818732	116467.04225081611	3228	6336	7245	0.1808200761819404	0.0028805109796515255	0.17517427466182342	0.1864658777020574
HepG2_skew	[0.5,1.0)	dELS	442302	442207	110288.955	144038.064811	441641	-43591.41194812929	1092499.429206778	20074	39990	76163	0.045453207469415204	3.134340588475487e-4	0.04483887671407401	0.0460675382247564
HepG2_skew	[0.5,1.0)	non-cCRE	1032679	1032136	225791.39	277192.447998	1023856	-189273.8086703789	1336241.2488612155	12058	39763	11818	0.011777046772202341	1.0661694363610741e-4	0.01156807756267557	0.011986015981729112
HepG2_skew	[0.5,1.0)	pELS	76553	76474	15545.787	15486.504543	76437	10561.479004803234	251443.99671492144	6118	20107	18205	0.0800397713149391	9.814894349014559e-4	0.07811605202253225	0.08196349060734595
HepG2_skew	[1.0,1.5)	Other cCREs	23980	23962	5477.616	7281.892408	23794	-4692.3409932889035	37280.62124282405	423	953	1542	0.01777759098932504	8.566583364557122e-4	0.016098540649871845	0.019456641328778237
HepG2_skew	[1.0,1.5)	PLS	2692	2688	488.869	347.764275	2689	1894.591003714245	17310.657235781055	485	952	1051	0.18036444775009297	0.0074146466806581405	0.165831740256003	0.19489715524418294
HepG2_skew	[1.0,1.5)	dELS	77287	77274	18397.845	24134.581649	77154	-6414.3539848747905	187456.3188462464	3593	7140	13730	0.04656919926381004	7.586033405053359e-4	0.045082336716419584	0.0480560618112005
HepG2_skew	[1.0,1.5)	non-cCRE	168921	168840	30572.126	31758.94482	167473	-37063.622949160286	224996.98090202425	1736	7177	2116	0.01036585001761478	2.4749555135843984e-4	0.009880758736952239	0.010850941298277322
HepG2_skew	[1.0,1.5)	pELS	14213	14189	2672.721	2473.408355	14198	1954.3809977447395	44222.40790512267	1111	3834	3534	0.0782504578109593	0.0022539087155542606	0.07383279672847294	0.08266811889344565
HepG2_skew	[1.5,Inf)	Other cCREs	6762	6761	1132.686	968.847586	6730	-1333.9319966671756	10382.184587459966	120	242	391	0.017830609212481426	0.0016131277283566376	0.014668878864902417	0.020992339560060434
HepG2_skew	[1.5,Inf)	PLS	639	635	106.196	58.20881	639	317.3670016091781	3351.6674273489966	97	223	242	0.15179968701095461	0.014194961637530817	0.12397756220139422	0.179621811820515
HepG2_skew	[1.5,Inf)	dELS	21611	21606	3929.639	3882.779997	21582	-2220.4879932982144	50272.09318292966	918	1942	3552	0.042535446205170975	0.0013736971742273865	0.0398429997436853	0.04522789266665665
HepG2_skew	[1.5,Inf)	non-cCRE	46278	46261	6368.042	3551.5909739999997	45866	-10798.993986487856	61756.16164819518	443	1747	545	0.009658570618758994	4.566710385563103e-4	0.008763495383188626	0.010553645854329361
HepG2_skew	[1.5,Inf)	pELS	3892	3887	632.638	443.430172	3889	425.8620030671591	11455.262548202392	290	1040	949	0.07456929802005657	0.004212433011671844	0.06631292931717976	0.08282566672293339
K562_skew	(-Inf,-1.5)	Other cCREs	27720	27718	16785.133	33878.863817	27498	-4114.476989477175	55733.82179505223	784	1214	5797	0.028511164448323516	0.0010036350752385989	0.02654403970085586	0.03047828919579117
K562_skew	(-Inf,-1.5)	PLS	7488	7487	2309.711	2775.734031	7483	22621.244988732866	152118.06367408446	3738	2879	5445	0.49953227315247895	0.005780054610626987	0.4882033661156501	0.5108611801893078
K562_skew	(-Inf,-1.5)	dELS	77516	77506	44803.511	88253.834627	77308	15000.002987178745	313168.97242011223	6801	8346	37458	0.08797278418792363	0.0010187458406200624	0.08597604234030831	0.08996952603553895
K562_skew	(-Inf,-1.5)	non-cCRE	127232	127157	111632.764	246286.574132	125827	-45240.15387980665	190017.2497047872	920	6382	3197	0.007311626280528027	2.4017430312451077e-4	0.006840884646403986	0.007782367914652068
K562_skew	(-Inf,-1.5)	pELS	12993	12992	5828.845	9874.035713	12979	12152.777010878899	100006.45798873072	2557	3772	7416	0.19701055551275137	0.0034912347347292594	0.19016773543268203	0.2038533755928207
K562_skew	[-0.05,0.05)	Other cCREs	19691538	19675986	5066339.591	7083649.112620993	19600413	-556880.2755180191	31301023.940310456	598320	579202	707873	0.03052588738818922	3.88570338833962e-5	0.030449727601777762	0.030602047174600674
K562_skew	[-0.05,0.05)	PLS	775278	769945	168418.317	163716.793491	774637	161166.33992035172	3503833.0092880386	82382	244903	237906	0.10634916741648023	3.5026912771411576e-4	0.10566263992616057	0.1070356949067999
K562_skew	[-0.05,0.05)	dELS	46604016	46592399	12516122.282999992	17452655.224613056	46539941	2155324.4745509583	106742993.3824164	2355728	3205964	4406695	0.05061733963092046	3.2133452615279836e-5	0.05055435806379451	0.050680321198046406
K562_skew	[-0.05,0.05)	non-cCRE	305015868	304842950	73334727.49099976	98642764.82331796	301308114	-30646600.691104185	347721360.498521	4329689	6547325	1045603	0.014369639577645095	6.8560592229422886e-6	0.014356201701568127	0.014383077453722063
K562_skew	[-0.05,0.05)	pELS	6478899	6472736	1566094.934	1885002.942854	6472897	315874.7740591614	15306157.299600946	335693	1351678	800559	0.051861322681328	8.715822513283164e-5	0.05169049256006765	0.052032152802588355
K562_skew	[-0.2,-0.05)	Other cCREs	3794408	3791560	1671951.373	3139049.890951	3772614	-524460.6983037713	6266123.52639993	93182	133428	200357	0.024699584956213383	7.990847569011686e-5	0.024542964343860753	0.024856205568566013
K562_skew	[-0.2,-0.05)	PLS	380547	379857	100375.168	107643.703858	380193	176400.8299417423	2124506.6829153625	57250	134742	166344	0.15058141522858126	5.800220560197038e-4	0.14944457199878264	0.15171825845837988
