skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-0.05,0.05)	Other cCREs	CpG ti (non-CGI)	1268473	1268473	2660445.702	5942083.457548	1258835	-977744.7655949142	3418078.667062927	13879	52712	52443	2.097360922936476	0.28551564762872195	4.744324036150765e-4	2.09643103542539	2.0982908104475615
HepG2_skew	[-0.05,0.05)	Other cCREs	non-CpG ti	10696534	10696534	1596038.9249999998	323196.491277	10661305	313113.8054985445	15708232.834402312	333917	298257	379757	0.14921084951443148	0.007951190111753968	2.7264311233740655e-5	0.14915741146441333	0.14926428756444962
HepG2_skew	[-0.05,0.05)	Other cCREs	non-CpG tv	6991855	6991855	422165.097	59793.794001	6956718	242649.92555507252	10622375.296778724	228653	200697	255458	0.06037955549707481	0.004906231322587762	2.6489746597110354e-5	0.060327635593744475	0.06043147540040515
HepG2_skew	[-0.05,0.05)	PLS	CpG ti (CGI)	59049	59049	28925.83	24705.394164	59030	-885.950990529964	287089.9465984654	6237	23673	33228	0.48986147098172705	0.17842678043003368	0.0017382960605023907	0.4864544107031424	0.4932685312603117
HepG2_skew	[-0.05,0.05)	PLS	CpG ti (non-CGI)	43302	43302	61792.682	114869.895198	43226	-26015.301999123407	194481.71058002856	2140	11901	12129	1.4270168121564824	0.6163991389520044	0.0037729151108401495	1.4196218985392357	1.434411725773729
HepG2_skew	[-0.05,0.05)	PLS	non-CpG ti	375131	375131	53976.547	9959.200621	374882	133857.96594931747	1698535.5052231231	44141	115665	110116	0.14388719407353698	0.005845084976918962	1.2482567905629105e-4	0.14364253574258665	0.1441318524044873
HepG2_skew	[-0.05,0.05)	PLS	non-CpG tv	322971	322971	24155.759	3450.273965	322632	72835.12694189524	1542724.6759552783	36219	106582	112303	0.07479234668128097	0.005089042522595062	1.255267474187237e-4	0.07454631425634027	0.07503837910622167
HepG2_skew	[-0.05,0.05)	dELS	CpG ti (CGI)	65505	65505	83080.845	151967.06317100002	65401	-46271.27101044274	264250.158775907	2458	13866	16023	1.2683130295397298	0.7113236588960874	0.0032953109492561425	1.2618542200791878	1.2747718390002718
HepG2_skew	[-0.05,0.05)	dELS	CpG ti (non-CGI)	3373981	3373981	6660053.475000001	14185600.061927002	3368530	-2713744.6098339087	11637151.114751969	66606	285350	427760	1.9739451629988434	0.3079507642716053	3.02112939721796e-4	1.9733530216369886	1.9745373043606982
HepG2_skew	[-0.05,0.05)	dELS	non-CpG ti	24623267	24623267	3582360.915999992	711112.064374	24594573	2996638.090270299	52527901.9386195	1283134	1619468	2209880	0.14548682414888292	0.007713264022330669	1.7698899431079487e-5	0.14545213430599802	0.14552151399176783
HepG2_skew	[-0.05,0.05)	dELS	non-CpG tv	15733244	15733244	920634.2300000006	124150.31297399996	15708997	2105462.8453581273	34676033.81913172	854029	1050429	1492615	0.0585152197474342	0.0044669238693217945	1.684981497756157e-5	0.05848219411007818	0.05854824538479022
HepG2_skew	[-0.05,0.05)	non-cCRE	CpG ti (CGI)	69714	69714	70906.779	119449.542229	69549	-31327.184002545793	218323.13508172895	2682	20889	15745	1.0171096049573973	0.6789203771392498	0.0031206813165828187	1.010993069576895	1.0232261403378997
HepG2_skew	[-0.05,0.05)	non-cCRE	CpG ti (non-CGI)	17078773	17078773	37002038.032	84743283.37888993	16912385	-13699871.023664957	40989255.03131256	87089	525861	90362	2.1665513109167738	0.2679624374672852	1.252589095787883e-4	2.1663058034539993	2.1667968183795483
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG ti	169828402	169828402	25920344.789000217	5488061.027434892	168102794	-10239021.320740849	176670998.10087416	2406510	3481673	520357	0.15262667777442915	0.009020428305875954	7.288000906527953e-6	0.15261239329265236	0.15264096225620594
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG tv	111202806	111202806	6833417.852999997	1129100.7375210056	109608125	-5426857.182517866	117281421.67084388	1684084	2288334	374053	0.06145004877844537	0.006377418961065382	7.572941488782687e-6	0.06143520581312736	0.061464891743763385
HepG2_skew	[-0.05,0.05)	pELS	CpG ti (CGI)	89969	89969	47079.026	44354.799526	89919	-12250.058988706787	301598.62614940375	6184	34934	37691	0.5232805299603196	0.21918084041775224	0.0015608272808338628	0.5202213084898852	0.526339751430754
HepG2_skew	[-0.05,0.05)	pELS	CpG ti (non-CGI)	461596	461596	765266.977	1500285.687629	461073	-350124.0788919409	1498084.2726105002	8854	95897	63187	1.657871768819487	0.5016760815235615	0.0010425110799931634	1.6558284471027005	1.6599150905362736
HepG2_skew	[-0.05,0.05)	pELS	non-CpG ti	3316664	3316664	475898.374	91458.76156	3314142	444783.0128972807	7341659.1550667165	179130	668665	382213	0.14348706230115563	0.006986993228085982	4.589806987032412e-5	0.1433971020842098	0.14357702251810145
HepG2_skew	[-0.05,0.05)	pELS	non-CpG tv	2273647	2273647	140435.27	19295.179772	2271159	254089.93801053544	5317012.917812408	124917	484894	303543	0.06176652312342241	0.00467134348099965	4.5327251101556074e-5	0.06167768171126336	0.06185536453558146
