skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
K562_skew	[-1.0,-0.5)	dELS	786391	786114	419737.193	787175.806867	785041	-8342.77008341054	2434244.345295436	49340	77696	242114	0.5339393434031197	0.7162603921251925	9.545368580378451e-4	0.5320684511613655	0.5358102356448738
K562_skew	[-1.0,-0.5)	non-cCRE	1380720	1379709	902869.909	1805670.986047	1369643	-440393.5741314038	2144717.03171406	15612	60423	29880	0.6543915485076925	0.880505547692331	7.988629866902858e-4	0.6528257770537795	0.6559573199616056
K562_skew	[-1.0,-0.5)	pELS	143498	143291	57471.002	88007.12236000001	143283	64243.19600357826	698775.463806054	18568	39874	57751	0.40107893726751853	0.45332342769307404	0.0017786669082963786	0.39759275012725764	0.4045651244077794
K562_skew	[-1.5,-1.0)	Other cCREs	62210	62190	34354.607	67823.101567	61822	-5324.757992707776	149381.16731627783	2434	2686	12261	0.5524136838720052	0.7854306478019429	0.003553805403754679	0.545448225280646	0.5593791424633644
K562_skew	[-1.5,-1.0)	PLS	17763	17759	5024.809	5555.496571	17742	44235.81997553328	288143.01549941406	7856	6985	12163	0.28294436623683766	0.23278269923605371	0.0036204795292683403	0.2758482263594717	0.2900405061142036
K562_skew	[-1.5,-1.0)	dELS	184815	184781	98933.595	188308.812667	184452	30584.802953285533	722251.3538257565	15960	19121	75130	0.5354099988635195	0.7324319551925863	0.001990925391070208	0.5315077850970219	0.539312212630017
K562_skew	[-1.5,-1.0)	non-cCRE	239673	239546	169933.463	359707.921847	237550	-71917.73781182666	379671.6051991246	2969	11340	7047	0.7093980404598699	0.9983821669675436	0.0020415214430846997	0.7053966584314239	0.7133994224883159
K562_skew	[-1.5,-1.0)	pELS	32016	31992	12854.472	19891.529862	31962	24452.744002623844	213221.24871489237	5575	9050	15691	0.40180270067516877	0.4603347284125743	0.003793291120817748	0.394367850078366	0.40923755127197153
K562_skew	[0.05,0.2)	Other cCREs	3774297	3771937	740105.343	736346.6073949999	3755576	-361262.57555983344	5988910.987097038	95858	125154	176304	0.1962136013936606	0.15671736546809903	2.0383386804019715e-4	0.1958140870123018	0.1966131157750194
K562_skew	[0.05,0.2)	PLS	295060	294298	48730.037	29936.119097	294818	83501.75398808917	1547417.6403407855	37972	102639	110059	0.1655805917811198	0.07430375006549213	5.02471820857184e-4	0.16459574701223972	0.1665654365499999
K562_skew	[0.05,0.2)	dELS	9957325	9955022	1954904.564	1900065.875712	9943692	-258350.72857899545	23532229.703043405	469298	770144	1240070	0.1963737060550946	0.152302443309291	1.2368935454163437e-4	0.196131274920193	0.1966161371899962
K562_skew	[0.05,0.2)	non-cCRE	41993362	41976488	7893980.500999992	7620535.799336984	41519348	-5742193.914478938	50382712.80672434	549570	1124016	247622	0.18805719289808123	0.14617745371418853	5.901156688082703e-5	0.1879415302269948	0.18817285556916766
K562_skew	[0.05,0.2)	pELS	1536617	1535282	272108.023	216613.310731	1534927	84476.26301245096	4133176.118675195	91969	360384	267442	0.17723650964448223	0.10967753426781125	2.672789521600332e-4	0.17671264289824856	0.1777603763907159
K562_skew	[0.2,0.5)	Other cCREs	800006	799374	164582.698	182677.100604	795045	-101674.94884848726	1244235.686094349	17969	30076	47626	0.20588948101889729	0.18613495117809847	4.8254626182139506e-4	0.20494369034572735	0.20683527169206722
K562_skew	[0.2,0.5)	PLS	104471	104296	16583.508	9604.97434	104407	54296.33794560494	634757.9649529645	17053	37764	43670	0.15900425711436683	0.06681169730197845	8.003729936423431e-4	0.15743552604682784	0.16057298818190582
K562_skew	[0.2,0.5)	dELS	2312498	2311771	464811.034	489504.355922	2308840	-80218.48816109326	5552298.33386523	110026	199991	370698	0.2010627497273735	0.1713181550596886	2.7222580371464265e-4	0.2005291871520928	0.2015963123026542
K562_skew	[0.2,0.5)	non-cCRE	6505091	6501311	1325961.677	1506377.022771	6437460	-1043411.1872843415	8178462.913572784	83401	220740	63971	0.20395296840898702	0.19010679428458133	1.710008812116199e-4	0.20361780668181226	0.2042881301361618
K562_skew	[0.2,0.5)	pELS	396782	396440	69803.876	56986.087414	396291	57402.16302840331	1207425.9148693106	29833	102276	91491	0.1760767732822117	0.11274179928142383	5.33278097633267e-4	0.17503154821085048	0.1771219983535729
K562_skew	[0.5,1.0)	Other cCREs	185851	185684	38842.777	45499.592295	184551	-30215.955974817625	285015.33254885324	3595	7338	12336	0.2091875282738416	0.2012794266738365	0.001041147958302212	0.20714687827556927	0.21122817827211393
K562_skew	[0.5,1.0)	PLS	28641	28597	4502.571	2637.613923	28621	19989.61500124773	193732.71712214287	5336	10537	12327	0.15744906808406475	0.06744608739221096	0.0015357415795826611	0.15443901458808273	0.16045912158004677
K562_skew	[0.5,1.0)	dELS	576858	576675	117661.531	130179.350943	575917	-29348.65594935732	1409411.1501498283	27387	53381	105765	0.2040343885203971	0.18411156461543482	5.650345082542833e-4	0.2029269208842187	0.20514185615657549
K562_skew	[0.5,1.0)	non-cCRE	1270976	1270070	253564.361	284875.714089	1259669	-231647.09965537747	1644524.346431946	15508	50906	16945	0.19964597305660317	0.18444085361085044	3.810787507633389e-4	0.19889905870510702	0.20039288740809932
K562_skew	[0.5,1.0)	pELS	105478	105369	18232.417	14751.974009	105333	21562.818986295595	360309.3503935287	9150	28652	27333	0.1730339758372956	0.11006326784570743	0.0010220326554256209	0.17103079183266137	0.17503715984192983
K562_skew	[1.0,1.5)	Other cCREs	34527	34506	7603.594	9680.872094	34298	-6559.164991383676	52313.76881952174	593	1435	2515	0.22035570625398482	0.2320062822217487	0.002593000278448006	0.21527342570822672	0.22543798679974292
K562_skew	[1.0,1.5)	PLS	5381	5370	881.8820000000001	571.639032	5377	4082.1300043101655	36666.7316896274	1041	1912	2219	0.16422383612662944	0.0794958068446593	0.0038475561627413133	0.15668262604765648	0.1717650462056024
K562_skew	[1.0,1.5)	dELS	113476	113447	24260.435	29013.397759	113292	-6913.078991728254	275518.45277405216	5471	10821	21925	0.21384818461484217	0.210014877353839	0.001360593909548599	0.2111814205521269	0.21651494867755744
K562_skew	[1.0,1.5)	non-cCRE	214668	214525	38608.692	39649.842886	212901	-43541.4759497327	284953.1032561265	2478	9439	3309	0.17997292623237388	0.1524366672668585	8.429576712696233e-4	0.1783207291966854	0.18162512326806235
K562_skew	[1.0,1.5)	pELS	21459	21431	3726.042	3120.873492	21434	4102.7839999975395	72211.41555162484	1871	5874	5867	0.17386225561103075	0.11540155974701652	0.002320516288386066	0.16931404368579406	0.17841046753626744
K562_skew	[1.5,Inf)	Other cCREs	11335	11330	2305.2509999999997	2794.744737	11270	-2554.4329939259924	17728.41409853156	190	454	697	0.20346434245366282	0.205288053499369	0.004256639624326091	0.19512132878998367	0.21180735611734197
K562_skew	[1.5,Inf)	PLS	1520	1515	213.009	106.307843	1520	1113.4789987480035	9503.56604139788	293	525	638	0.1406	0.050435123910171735	0.005769792962645758	0.12929120579321432	0.15190879420678569
K562_skew	[1.5,Inf)	dELS	38078	38064	8057.987	9772.604171	38020	-3865.2129888556674	91082.73481225426	1656	3803	7288	0.2116957492643968	0.21193186494685737	0.002359613746362159	0.20707090632152697	0.21632059220726663
K562_skew	[1.5,Inf)	non-cCRE	68402	68367	10498.375	8861.733853	67940	-19876.644980281813	104260.69438760327	752	3280	1135	0.1535591001506575	0.10604120227826465	0.001245414907741855	0.15111808693148346	0.15600011336983152
K562_skew	[1.5,Inf)	pELS	7584	7545	1258.67	1055.669386	7573	1594.4730086486086	23518.14813123304	660	2125	2172	0.16682173624917165	0.11210178568866054	0.003854576268441536	0.15926676676302626	0.17437670573531705
SKNSH_skew	(-Inf,-1.5)	Other cCREs	17438	17431	14866.679	32501.089435	17319	-6569.273998489603	34867.76415406952	291	649	2504	0.8528873271757215	1.1372052391687077	0.008077152348562237	0.8370561085725394	0.8687185457789035
SKNSH_skew	(-Inf,-1.5)	PLS	6182	6181	2108.5950000000003	2671.684857	6175	19409.44899485783	137319.5792863247	3207	2456	3989	0.34114140106778845	0.31591517870800434	0.007149174121372349	0.32712901978989867	0.35515378234567824
SKNSH_skew	(-Inf,-1.5)	dELS	53044	53041	42045.835	89042.762151	52964	-1441.7200035710105	187469.42239850055	3688	5195	21465	0.7927044173375313	1.0503929678705697	0.004450102877399265	0.7839822156978287	0.8014266189772339
