skew_type	skew_bin	ccre_class	pleio_bin	pleio_set	COMMON	SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	pval	log2odds	log2lci	log2uci
SKNSH_skew	[1.0,1.5)	Other cCREs	2	all	8	133	271223115	11777645	0.6465487883167144	0.33055464360248266	1.4447329373050328	0.20369398803740105	-0.6291688555450494	-1.5970393132059046	0.5308028313872826
SKNSH_skew	[1.0,1.5)	Other cCREs	3	all	7	56	271223115	11777645	0.30940015457147085	0.14686510345156642	0.7509745911973208	0.005475875213280974	-1.6924541773523893	-2.7674364563664215	-0.41316399909688356
SKNSH_skew	[1.0,1.5)	Other cCREs	6	all	4	71	271223115	11777645	0.6253156467900176	0.25594453665511874	1.9839522098176003	0.25500336308405996	-0.6773434777439579	-1.966096883731694	0.9883772739659419
SKNSH_skew	[1.0,1.5)	PLS	0	all	30	465	271223115	11777645	0.6527751795518308	0.4536017562845253	0.9718511964080743	0.03166602345888929	-0.6153418920789453	-1.1405018686767314	-0.04119266031388897
SKNSH_skew	[1.0,1.5)	PLS	1	all	10	296	271223115	11777645	1.172455188955121	0.6458330296714354	2.3742873104072766	0.7743534794864922	0.22953278422667384	-0.6307668686696883	1.2474945247942866
SKNSH_skew	[1.0,1.5)	PLS	2	all	8	254	271223115	11777645	1.230355148639907	0.6380165989705574	2.7216030388168075	0.6448007541382282	0.2990748173735439	-0.6483341365069477	1.4444566569617792
SKNSH_skew	[1.0,1.5)	PLS	3	all	7	224	271223115	11777645	1.2213082417254724	0.6093056792094345	2.8634054415098484	0.7419136318883588	0.2884273630493309	-0.7147619074139673	1.5177319620042045
SKNSH_skew	[1.0,1.5)	PLS	4	all	1	206	271223115	11777645	4.4944074054567755	1.2285760291923926	37.32684227362591	0.013984816588568046	2.16813090671449	0.2969871401948475	5.222141561501268
SKNSH_skew	[1.0,1.5)	PLS	5	all	8	257	271223115	11777645	1.2448301695296253	0.6455862252848723	2.7532602406773847	0.6451889968171732	0.31594893081538494	-0.6313182983739188	1.4611409812339828
SKNSH_skew	[1.0,1.5)	PLS	6	all	31	1165	271223115	11777645	1.582282030970096	1.1145437706765378	2.3244000893083236	0.007380891800846587	0.6620067732731394	0.15645327563578407	1.216858415206329
SKNSH_skew	[1.0,1.5)	dELS	0	all	1787	39031	271223115	11777645	0.947918113622469	0.9040209200983381	0.9945134613203341	0.02825989953242381	-0.0771656583095011	-0.1455719362149202	-0.007937195976503155
SKNSH_skew	[1.0,1.5)	dELS	1	all	370	8145	271223115	11777645	0.9534386816353373	0.8591174161674614	1.0608808922832396	0.3705544243587269	-0.06878793720431767	-0.21907277592609792	0.08526269041085571
SKNSH_skew	[1.0,1.5)	dELS	2	all	81	2442	271223115	11777645	1.2937299044788244	1.0380920911175395	1.632538893901491	0.021723100993082833	0.37153645338768676	0.053934433585297974	0.7071173632083891
SKNSH_skew	[1.0,1.5)	dELS	3	all	52	1059	271223115	11777645	0.8684843639175331	0.6589353297595056	1.167202778887125	0.32838843371178555	-0.20342821981663292	-0.6017912138929922	0.22305522315416987
SKNSH_skew	[1.0,1.5)	dELS	4	all	19	672	271223115	11777645	1.4612329608736423	0.9385495870847493	2.407758198927641	0.10487594764024692	0.5471862018953946	-0.09149512484305167	1.2676905155511369
