skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	prop_conserved
mean_skew	[-0.2,-0.05)	dELS	ULTRARARE	4766211	4764727	3384421.134	6726727.264134	4757892	-802246.5601523755	12911494.88325361	216452	399718	734694	0.045493256257182806
mean_skew	[-0.2,-0.05)	non-cCRE	COMMON	1119489	1118287	844285.768	1791535.19825	1106032	-563317.6295593904	2061066.389948441	9538	41204	7992	0.008623620293083745
mean_skew	[-0.2,-0.05)	non-cCRE	LOW_FREQ	1288423	1286427	1185714.901	2695997.156175	1267197	-524408.422469524	2226607.6094076247	13252	38715	10352	0.010457726778077915
mean_skew	[-0.2,-0.05)	non-cCRE	RARE	3358744	3354021	3436814.964	7916043.188558	3302754	-1445334.0606092596	6018484.321187523	34462	104590	27340	0.010434322386711211
mean_skew	[-0.2,-0.05)	non-cCRE	SINGLETON	20536190	20524380	3996342.163999994	4864444.433794003	20295664	-947674.6430034908	23133162.049249187	341725	579865	168473	0.01683734023188401
mean_skew	[-0.2,-0.05)	non-cCRE	ULTRARARE	16778842	16765529	11690835.659999996	24441975.799612004	16556897	-4750544.942385264	25733639.945109542	213403	515092	142937	0.01288906973329604
mean_skew	[-0.2,-0.05)	pELS	COMMON	39070	39029	21627.108	37748.288628	38998	-12949.404999810858	105167.41037425004	1360	10058	7181	0.03487358326068003
mean_skew	[-0.2,-0.05)	pELS	LOW_FREQ	48756	48703	32264.798	60986.950944	48634	-8977.21298751445	147057.97128524235	2363	11236	9929	0.0485874079861825
mean_skew	[-0.2,-0.05)	pELS	RARE	130120	129885	93558.42	179640.712852	129853	-22933.93198848737	398890.04376545	6770	29978	26781	0.05213587672213965
mean_skew	[-0.2,-0.05)	pELS	SINGLETON	944733	944198	207303.569	215843.005703	943845	193854.82797306209	2661781.9883588688	69810	231039	202571	0.07396341560319755
mean_skew	[-0.2,-0.05)	pELS	ULTRARARE	737430	736446	407508.434	710444.7965620001	736478	-23580.65695328253	2226660.6881401604	45545	175843	155550	0.061841630028324
mean_skew	[-0.5,-0.2)	PLS	COMMON	2236	2233	785.682	1047.743572	2233	234.3319994235644	11704.513565526526	261	971	1003	0.11688311688311688
mean_skew	[-0.5,-0.2)	PLS	LOW_FREQ	3321	3318	1311.647	1920.631891	3318	1919.2839989573697	19336.02906417189	595	1218	1686	0.17932489451476794
mean_skew	[-0.5,-0.2)	PLS	RARE	9396	9378	3807.806	5526.674756	9388	7619.168004850626	68892.51564700482	1925	3489	4871	0.20504899872177249
mean_skew	[-0.5,-0.2)	PLS	SINGLETON	80382	80336	15381.302	10253.372736	80333	99534.7879764672	683670.3927708939	20925	29724	43161	0.26047825924588897
mean_skew	[-0.5,-0.2)	PLS	ULTRARARE	58920	58832	19342.499	24150.234463	58886	59702.323975893785	470115.0702844075	13852	21785	31153	0.23523418129945997
mean_skew	[-0.5,-0.2)	dELS	COMMON	56575	56551	45088.092	90977.320402	56450	-26604.031973134388	150426.44345485122	1554	6372	12254	0.027528786536758193
mean_skew	[-0.5,-0.2)	dELS	LOW_FREQ	70862	70828	67221.951	144839.945043	70700	-24008.057008821517	200807.1111881089	2641	6621	16767	0.03735502121640735
mean_skew	[-0.5,-0.2)	dELS	RARE	190084	189984	197697.244	429841.654344	189695	-67957.8799860353	581796.1667353894	7758	18227	46245	0.040897229763567834
mean_skew	[-0.5,-0.2)	dELS	SINGLETON	1138936	1138587	276363.733	363083.588017	1137073	139793.07191256774	3047025.4072405617	71961	105095	273694	0.0632861742385933
mean_skew	[-0.5,-0.2)	dELS	ULTRARARE	992901	992587	779648.884	1580306.857302	991074	-197130.1120749415	2945523.111974937	48472	95072	242096	0.04890855778680502
mean_skew	[-0.5,-0.2)	non-cCRE	COMMON	147341	147195	137517.216	293676.633498	145937	-91724.2239142574	303510.6404650874	936	6781	1876	0.006413726471011464
mean_skew	[-0.5,-0.2)	non-cCRE	LOW_FREQ	175385	175130	197813.349	450772.630699	173213	-93259.1849046417	340161.4526306271	1434	7012	2422	0.008278824337665186
mean_skew	[-0.5,-0.2)	non-cCRE	RARE	467912	467306	575314.639	1324476.877391	462279	-262842.23472071235	941931.2542598604	3800	18598	6898	0.00822014411210546
mean_skew	[-0.5,-0.2)	non-cCRE	SINGLETON	2367818	2366028	619926.064	869162.489114	2345550	-304229.7751032854	2965660.578231813	35345	88222	40985	0.015068960371767815
mean_skew	[-0.5,-0.2)	non-cCRE	ULTRARARE	2225455	2223552	1990233.62	4221560.184042	2203202	-919091.7909139368	3875233.632050273	23477	88336	35392	0.010655854524460308
mean_skew	[-0.5,-0.2)	pELS	COMMON	8357	8352	5071.6449999999995	9081.071877	8334	-2157.6990022753585	24092.89250252668	418	2446	2300	0.05015598752099832
mean_skew	[-0.5,-0.2)	pELS	LOW_FREQ	11105	11092	7768.231	14677.960747	11073	-1270.3899838700895	39462.92557168792	748	2880	3443	0.06755170233902284
mean_skew	[-0.5,-0.2)	pELS	RARE	29786	29713	22492.039	43335.875389	29722	-2001.4400169499008	111120.00140490897	2211	7509	9206	0.07438934122871947
mean_skew	[-0.5,-0.2)	pELS	SINGLETON	210782	210623	48439.39	50274.093202	210540	84806.91601660755	831435.1443933662	23337	57277	70313	0.11084354516956398
mean_skew	[-0.5,-0.2)	pELS	ULTRARARE	167896	167641	96066.924	167644.801822	167634	22925.848986355235	655538.8078661212	15500	43969	53777	0.09246334275862891
mean_skew	[-1.0,-0.5)	PLS	COMMON	610	609	259.16	397.14648999999997	610	394.8199995053	3853.0475814273705	121	273	321	0.19836065573770492
mean_skew	[-1.0,-0.5)	PLS	LOW_FREQ	1066	1066	444.403	641.704357	1065	1256.648002333123	8917.819872391867	279	429	620	0.2619718309859155
mean_skew	[-1.0,-0.5)	PLS	RARE	3044	3042	1358.395	2110.888179	3042	4323.352003710113	33090.993222539044	929	1146	1855	0.3053911900065746
mean_skew	[-1.0,-0.5)	PLS	SINGLETON	28328	28320	5713.887	4091.886287	28313	60556.276976860034	386748.92650123575	11119	10927	17752	0.39271712640836365
mean_skew	[-1.0,-0.5)	PLS	ULTRARARE	19959	19957	7104.411	9229.493063	19947	36243.25898927718	244727.4598309	6954	7482	12183	0.3486238532110092
mean_skew	[-1.0,-0.5)	dELS	COMMON	13964	13959	12448.218	25673.13157	13939	-6818.431004464046	40827.488843483865	431	1704	4298	0.030920439055886362
mean_skew	[-1.0,-0.5)	dELS	LOW_FREQ	18199	18194	18985.597	41502.143237	18156	-6274.453000763314	60359.9182898494	822	1803	6053	0.04527428949107733
mean_skew	[-1.0,-0.5)	dELS	RARE	49596	49582	56099.057	124113.248929	49493	-15590.9200034407	167747.5485735268	2518	5058	16874	0.05087588143777908
mean_skew	[-1.0,-0.5)	dELS	SINGLETON	280013	279970	74961.476	103627.597956	279568	68242.06093044484	978082.544609855	23512	27672	99758	0.08410118468494249
mean_skew	[-1.0,-0.5)	dELS	ULTRARARE	253962	253906	218352.114	450287.826818	253479	-34495.634028577835	899049.2684686306	16010	25721	88811	0.06316105081683296
mean_skew	[-1.0,-0.5)	non-cCRE	COMMON	26728	26713	28427.747	63284.011093	26495	-17244.740979244823	56265.31627747584	169	1340	490	0.006378561992828835
mean_skew	[-1.0,-0.5)	non-cCRE	LOW_FREQ	31789	31758	41376.601	98385.995313	31456	-18744.63998251618	66788.98951277114	248	1288	629	0.007884028484231942
mean_skew	[-1.0,-0.5)	non-cCRE	RARE	85544	85482	120939.423	290774.140807	84681	-52201.2489396684	185233.10674413425	694	3809	1791	0.008195462972803817
mean_skew	[-1.0,-0.5)	non-cCRE	SINGLETON	383870	383680	114348.225	172003.348867	380585	-55174.05086683085	523529.2047661839	5934	17025	10793	0.015591786328940973
mean_skew	[-1.0,-0.5)	non-cCRE	ULTRARARE	387542	387359	397870.438	886140.87864	384255	-174763.62973588958	730950.3874602882	4143	17642	9537	0.010781902642776281
mean_skew	[-1.0,-0.5)	pELS	COMMON	1977	1976	1277.84	2289.18997	1974	-429.05499725206744	6140.456842722478	110	612	703	0.05572441742654509
mean_skew	[-1.0,-0.5)	pELS	LOW_FREQ	2777	2776	2155.287	4222.777545	2770	29.05399858800216	11938.028908472192	245	717	1098	0.08844765342960288
mean_skew	[-1.0,-0.5)	pELS	RARE	7289	7277	5855.798	11462.062706	7277	1039.4029975536996	34458.56529192659	775	1961	2952	0.1064999312903669
mean_skew	[-1.0,-0.5)	pELS	SINGLETON	52577	52550	12823.514	13832.447568	52508	39867.394012418	317458.1641759424	8821	15018	23397	0.16799344861735355
mean_skew	[-1.0,-0.5)	pELS	ULTRARARE	42267	42222	26227.238	46885.386348	42182	15975.44300229335	224281.7504101211	5490	11508	18017	0.13015030107628847
mean_skew	[-1.5,-1.0)	PLS	COMMON	122	122	78.955	157.150267	121	51.381000341847574	998.9672198473362	26	58	57	0.21487603305785125
mean_skew	[-1.5,-1.0)	PLS	LOW_FREQ	238	237	101.593	153.684217	237	402.4080002838746	2685.342603455263	80	78	170	0.33755274261603374
mean_skew	[-1.5,-1.0)	PLS	RARE	618	618	299.265	493.372767	617	1269.4239975570244	8316.198148596724	232	268	387	0.3760129659643436
mean_skew	[-1.5,-1.0)	PLS	SINGLETON	6821	6819	1460.81	1151.693084	6815	20653.23398633349	134750.4517745264	3480	2734	4719	0.5106382978723404
