skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
SKNSH_skew	(-Inf,-1.5)	non-cCRE	H1	78388	78356	77768.396	175436.839522	77620	-36795.51196685621	154960.91288460582	749	2988	1900	-0.47404679163690044	1.7717069079746	0.00477759267355173	-0.48341087327706184	-0.46468270999673905	0.00964957485184231	3.5088250644526225e-4	0.008961845139209595	0.010337304564475024
SKNSH_skew	(-Inf,-1.5)	non-cCRE	HCT116	78388	78356	77768.396	175436.839522	77620	-36795.51196685621	154960.91288460582	749	2988	1900	-0.47404679163690044	1.7717069079746	0.00477759267355173	-0.48341087327706184	-0.46468270999673905	0.00964957485184231	3.5088250644526225e-4	0.008961845139209595	0.010337304564475024
SKNSH_skew	(-Inf,-1.5)	non-cCRE	HepG2	78388	78356	77768.396	175436.839522	77620	-36795.51196685621	154960.91288460582	749	2988	1900	-0.47404679163690044	1.7717069079746	0.00477759267355173	-0.48341087327706184	-0.46468270999673905	0.00964957485184231	3.5088250644526225e-4	0.008961845139209595	0.010337304564475024
SKNSH_skew	(-Inf,-1.5)	non-cCRE	K562	78388	78356	77768.396	175436.839522	77620	-36795.51196685621	154960.91288460582	749	2988	1900	-0.47404679163690044	1.7717069079746	0.00477759267355173	-0.48341087327706184	-0.46468270999673905	0.00964957485184231	3.5088250644526225e-4	0.008961845139209595	0.010337304564475024
SKNSH_skew	(-Inf,-1.5)	non-cCRE	MCF-7	78388	78356	77768.396	175436.839522	77620	-36795.51196685621	154960.91288460582	749	2988	1900	-0.47404679163690044	1.7717069079746	0.00477759267355173	-0.48341087327706184	-0.46468270999673905	0.00964957485184231	3.5088250644526225e-4	0.008961845139209595	0.010337304564475024
SKNSH_skew	(-Inf,-1.5)	non-cCRE	SK-N-SH	78388	78356	77768.396	175436.839522	77620	-36795.51196685621	154960.91288460582	749	2988	1900	-0.47404679163690044	1.7717069079746	0.00477759267355173	-0.48341087327706184	-0.46468270999673905	0.00964957485184231	3.5088250644526225e-4	0.008961845139209595	0.010337304564475024
SKNSH_skew	(-Inf,-1.5)	pELS	H1	1300	1300	306.99	251.94307	1300	3776.11500543484	25887.8971620731	616	511	921	2.904703850334492	11.485297433780344	0.09399385181931334	2.720475900768638	3.0889317999003465	0.47384615384615386	0.013848520507797684	0.4467030536508704	0.5009892540414373
SKNSH_skew	(-Inf,-1.5)	pELS	HCT116	2006	2006	571.087	623.104377	2006	4843.828004097799	33115.998561887965	810	804	1391	2.4146699920726813	10.68316829607566	0.07297675880757963	2.271635544809825	2.5577044393355375	0.4037886340977069	0.010954982956667024	0.3823168675026395	0.42526040069277427
SKNSH_skew	(-Inf,-1.5)	pELS	HepG2	1656	1656	448.993	439.914543	1656	4125.016006134219	28175.323288853364	694	702	1142	2.490951694525495	10.815775032283106	0.08081624289778007	2.332551858445846	2.6493515306051436	0.4190821256038647	0.012124861112885792	0.39531739782260855	0.44284685338512086
SKNSH_skew	(-Inf,-1.5)	pELS	K562	2392	2392	825.316	1054.163816	2392	5214.03800639906	36404.76928699464	884	920	1559	2.179781775250443	10.472314623664918	0.06616689469090395	2.0500946616562716	2.3094688888446147	0.3695652173913043	0.009869270224708631	0.3502214477508754	0.38890898703173327
