skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-0.2,-0.05)	pELS	CpG transition	373279	373279	558984.62	1096030.038916	372824	-228880.82093714105	1283793.3673422164	12795	92499	83857	1.4974981716089037	0.6937231567585073	0.001363252544091262	1.494826196622485	1.5001701465953226
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG transition	879090	879090	126444.618	22932.170856	878270	282754.4499710128	2370068.652280529	68403	205969	173562	0.14383580520765793	0.005397527908772928	7.835753735503225e-5	0.14368222443444206	0.1439893859808738
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG transversion	734905	734905	50674.23	7193.682576	733899	134771.28197255824	2097561.0060535604	53334	180115	159200	0.0689534429620155	0.005034017977927655	8.276405869372377e-5	0.0687912254069758	0.0691156605170552
HepG2_skew	[-0.5,-0.2)	Other cCREs	CpG transition	168338	168338	367762.271	864357.6787769999	167068	-147141.1049206038	481402.9741578401	1319	8645	14566	2.184665797383835	0.3618932483951529	0.0014662200663965663	2.1817920060536977	2.187539588713972
HepG2_skew	[-0.5,-0.2)	Other cCREs	non-CpG transition	335322	335322	51992.468	10727.096374	333825	11001.066060258068	490918.0579579901	9792	11937	32146	0.155052361610631	0.007949223056816722	1.5396830114019537e-4	0.1547505837403962	0.15535413948086577
HepG2_skew	[-0.5,-0.2)	Other cCREs	non-CpG transversion	312346	312346	20920.149	2934.040539	310022	-21487.727943909376	493804.8643514444	8245	11675	29336	0.06697748330377211	0.004907591312939459	1.253476569078966e-4	0.06673180189623264	0.06722316471131158
HepG2_skew	[-0.5,-0.2)	PLS	CpG transition	27250	27250	24014.407	38349.735245	27231	17391.683988584435	205084.52519604628	5418	9894	14841	0.8812626422018348	0.6307290352405507	0.004811031037299081	0.8718330213687286	0.890692263034941
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG transition	53705	53705	8826.979	1849.853609	53674	80288.74196349121	511787.7694340072	15625	19606	27299	0.16436046923005307	0.0074304930484912785	3.719644678937774e-4	0.16363141887298127	0.16508951958712487
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG transversion	64381	64381	5297.119	796.147299	64319	77367.7929747716	546926.4920883557	16506	24097	34861	0.082277675090477	0.005596655219049512	2.9483933127154397e-4	0.08169979000118477	0.08285556017976922
HepG2_skew	[-0.5,-0.2)	dELS	CpG transition	545259	545259	1118299.932	2512972.678906	544259	-469304.1070019145	2003753.107117045	11545	57770	132270	2.0509518082232483	0.402366239898663	8.590320074750316e-4	2.049268105488597	2.0526355109578995
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG transition	1053650	1053650	159575.077	32153.415909	1052168	261010.12581582656	2729013.3355690097	73545	94766	243945	0.15144979547287998	0.007579187314543008	8.481313849622168e-5	0.1512835617214274	0.15161602922433257
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG transversion	950072	950072	62033.144	8534.146342	948247	104371.07196348946	2535283.2225859263	58988	87730	223170	0.06529309778627304	0.004719447498995384	7.048023120862381e-5	0.06515495653310414	0.06543123903944194
HepG2_skew	[-0.5,-0.2)	non-cCRE	CpG transition	1193368	1193368	2647605.631	6268941.434799	1185343	-1080215.7670888854	3218815.5732395253	5286	55051	19190	2.2185994856574	0.33096687241960293	5.266293614804491e-4	2.2175672921088982	2.2196316792059014
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG transition	2020149	2020149	315725.079	68244.253759	2001294	-74277.91564078839	2332548.0413990594	35696	72224	32654	0.1562880158839769	0.009355852936160192	6.805342571133114e-5	0.1561546311695827	0.1564214005983711
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG transversion	1982063	1982063	132291.328	19344.457202	1955306	-231597.84643759803	2521257.184414472	31445	71140	33888	0.06674425989486713	0.005304965447161032	5.173477356097257e-5	0.06664285973868762	0.06684566005104663
HepG2_skew	[-0.5,-0.2)	pELS	CpG transition	89214	89214	134336.28	268593.140222	89109	-43831.62497324555	343241.69444133854	4533	23244	27043	1.5057757751025624	0.7433089805365269	0.0028864775498406627	1.5001182791048748	1.51143327110025
HepG2_skew	[-0.5,-0.2)	pELS	non-CpG transition	171477	171477	26893.273	5487.853229	171288	93697.30198824972	682744.3071967318	20477	44306	53262	0.15683312047679865	0.007406851714383147	2.078327033297849e-4	0.15642576837827227	0.15724047257532503
HepG2_skew	[-0.5,-0.2)	pELS	non-CpG transversion	171285	171285	12597.937	1918.242757	170988	65458.75899821217	671491.7110905701	18545	46434	56503	0.07354956359284234	0.005789624182526556	1.8385079865530663e-4	0.07318921602747794	0.07390991115820675
HepG2_skew	[-1.0,-0.5)	Other cCREs	CpG transition	47935	47935	105868.456	251411.621736	47647	-41889.70298687416	140343.76431508962	455	2294	6447	2.2085836236570358	0.3670105468465926	0.002767023875860788	2.2031602568603486	2.214006990453723
HepG2_skew	[-1.0,-0.5)	Other cCREs	non-CpG transition	78081	78081	12765.449	2872.754189	77681	9723.548004171227	148987.63654468054	3199	2922	12846	0.16348982466925374	0.01006318097035988	3.590004211280278e-4	0.1627861838438428	0.16419346549466468
HepG2_skew	[-1.0,-0.5)	Other cCREs	non-CpG transversion	72325	72325	4768.392	561.930428	71814	-3394.6519786214917	129542.40659030066	2158	2884	11480	0.06593006567576909	0.003422792299543555	2.1754347017967737e-4	0.06550368047421692	0.06635645087732125
HepG2_skew	[-1.0,-0.5)	PLS	CpG transition	8999	8999	8354.64	13794.780434	8996	13571.593005467908	112294.96060656736	2830	3416	5513	0.928396488498722	0.6710782390896908	0.008635539046575146	0.9114708319674347	0.9453221450300093
HepG2_skew	[-1.0,-0.5)	PLS	non-CpG transition	15135	15135	2594.721	601.187157	15129	37875.26899894222	235153.2238099765	6625	5656	9255	0.17143845391476709	0.010331188081130009	8.261975853420948e-4	0.16981910664749658	0.1730578011820376
HepG2_skew	[-1.0,-0.5)	PLS	non-CpG transversion	18404	18404	1390.604	172.763582	18392	37670.472976782825	241406.17859822657	6929	7136	11433	0.07555987828732884	0.0036781890460320264	4.470549531868289e-4	0.07468365057908265	0.07643610599557503
