skew_type	skew_bin	ccre_class	pleio_bin	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	pleio_set	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-0.5,-0.2)	PLS	6	60405	60393	10101.453	3769.8613950000004	60382	89711.18398033625	637406.1930521522	18732	26268	38708	all	1.4857272693904848	8.348981312718568	0.01175879983390358	1.4626800217160338	1.5087745170649358	0.3102249014607002	0.0018825145288988707	0.3065351729840584	0.313914629937342	0.16726198400476874	0.03444615718785728	7.552262692703804e-4	0.1657817405169988	0.1687422274925387
HepG2_skew	[-0.5,-0.2)	dELS	0	1825381	1824913	1012340.5000000002	1995063.2102260005	1822038	-197064.95306531945	4612621.07333323	82894	135581	324058	all	-0.10815633541414583	2.519875968584131	0.0011760096007391964	-0.11046131423159467	-0.105851356596697	0.04549520921078485	1.543807599213047e-4	0.04519262292133909	0.04579779550023061	0.5547335681207818	0.7855085354843544	6.560763334430195e-4	0.5534476585072334	0.5560194777343301
HepG2_skew	[-0.5,-0.2)	dELS	1	439374	439325	214122.62499999997	385731.183059	438728	11367.77696845364	1363471.873262651	29355	52781	137388	all	0.025910762405074762	3.10711974757548	0.0026612233135819684	0.020694764710454103	0.031126760099695422	0.06690933790412283	3.7723120565244154e-4	0.06616996474104404	0.06764871106720162	0.48739003015990434	0.6404611412131641	0.0012074062888791834	0.4850235138337011	0.48975654648610756
HepG2_skew	[-0.5,-0.2)	dELS	2	133491	133456	59258.334	98341.098252	133346	22919.959967918345	505820.5568166031	12137	21615	55853	all	0.17188337083915786	3.7637781456958925	0.005312782195378136	0.16147031773621673	0.182296423942099	0.09101885320894515	7.876859901605705e-4	0.08947498866823043	0.09256271774965986	0.4440289983215442	0.539722599855955	0.0020110193524654485	0.4400874003907119	0.44797059625237645
HepG2_skew	[-0.5,-0.2)	dELS	3	58203	58196	23985.261999999988	37201.751452000004	58080	17160.75195110263	255105.93593732803	6450	11099	28693	all	0.2954674922710508	4.305092918143394	0.008609500604375313	0.2785928710864752	0.3123421134556264	0.11105371900826447	0.0013037400540330032	0.10849838850235978	0.11360904951416916	0.4121462299814418	0.46939283690321976	0.002840021718966963	0.4065797874122665	0.41771267255061706
HepG2_skew	[-0.5,-0.2)	dELS	4	33119	33115	12309.030000000004	17391.501818000004	33081	12401.058994632796	162397.70287896693	4176	6740	17904	all	0.3748695321977206	4.768709906133391	0.0120063538116327	0.35133707872692055	0.3984019856685207	0.12623560351863608	0.0018259916528411714	0.12265665987906739	0.12981454715820478	0.3717055714932811	0.38703167202156374	0.0034186990665031913	0.36500492132293483	0.37840622166362736
HepG2_skew	[-0.5,-0.2)	dELS	5	24834	24820	8075.285	10105.416566999998	24815	11889.778982728953	135407.98594903963	3496	4921	14232	all	0.4791367714176487	5.227337617247742	0.014513866884683502	0.45068959232366906	0.5075839505116284	0.14088253072738263	0.0022085015453219246	0.13655386769855166	0.1452111937562136	0.32535394842868653	0.3013050770604397	0.0034841940620326086	0.31852492806710264	0.3321829687902704
HepG2_skew	[-0.5,-0.2)	dELS	6	35160	35156	9817.117	9826.079783	35136	17217.20597681089	233935.7565438507	5572	7587	21394	all	0.49001610817426255	6.418074520491224	0.01351531644005491	0.46352608795175493	0.5165061283967701	0.15858378870673953	0.0019487614191057486	0.15476421632529228	0.1624033610881868	0.2792444248492434	0.20152765161875325	0.002394239514772987	0.27455171540028833	0.28393713429819845
HepG2_skew	[-0.5,-0.2)	non-cCRE	0	5198450	5195580	3095622.038	6356530.145760002	5143990	-1386773.8141669438	8074681.761407028	72428	198562	85790	all	-0.26959107894201656	1.4970521734391784	5.394713809514336e-4	-0.2706484428486814	-0.26853371503535173	0.014080120684526992	5.194861131781673e-5	0.013978301406344072	0.014181939962709913	0.595818376004219	0.8684502055220352	4.088419424201525e-4	0.5950170457970756	0.5966197062113625
HepG2_skew	[-0.5,-0.2)	pELS	0	199176	198911	105830.13	195015.1505	198748	-16928.766002698918	519735.17389872373	9595	33681	32719	all	-0.0851770382730841	2.607804051125279	0.0036223139992476697	-0.09227677371160953	-0.07807730283455866	0.048277215368204965	4.8081162097388027e-4	0.04733482459109616	0.04921960614531377	0.5320476494512622	0.6973429118313734	0.0018723791443204113	0.5283777863283942	0.5357175125741301
