skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
HepG2_skew	[0.2,0.5)	pELS	CpG ti (CGI)	6993	6993	3719.502	3692.58194	6987	1409.7779997441685	29931.34571588428	794	2678	3255	343577	0.020353516096828367
HepG2_skew	[0.2,0.5)	pELS	CpG ti (non-CGI)	18389	18389	28871.948	54763.328964	18355	-13404.16899134754	64833.37769846338	484	4303	3819	343577	0.05352220899536349
HepG2_skew	[0.2,0.5)	pELS	non-CpG ti	168702	168702	24935.06	4980.695082	168530	17525.09001356502	502927.0077588445	11955	41176	33957	343577	0.4910165697936707
HepG2_skew	[0.2,0.5)	pELS	non-CpG tv	149493	149493	9614.333	1090.703493	149284	32054.69301908649	453643.8690485455	11784	39566	33665	343577	0.43510770511413743
HepG2_skew	[0.5,1.0)	PLS	CpG ti (CGI)	1056	1056	512.083	461.546213	1056	965.0609994479456	8236.486992014186	237	392	617	17816	0.05927256398742703
HepG2_skew	[0.5,1.0)	PLS	CpG ti (non-CGI)	685	685	914.732	1635.057144	685	-96.66399986681064	3494.4153818430514	60	223	280	17816	0.03844858554108666
HepG2_skew	[0.5,1.0)	PLS	non-CpG ti	7859	7859	1171.711	220.978423	7858	5091.728992925144	49535.18505779878	1381	2724	2890	17816	0.4411203412662775
HepG2_skew	[0.5,1.0)	PLS	non-CpG tv	8216	8216	656.219	93.914423	8211	5981.388000073147	55068.24724218843	1547	2976	3453	17816	0.4611585092052088
HepG2_skew	[0.5,1.0)	dELS	CpG ti (CGI)	1255	1255	1553.927	2836.937881	1252	-528.0559989046305	5305.220794721266	79	248	403	442207	0.0028380373897292444
HepG2_skew	[0.5,1.0)	dELS	CpG ti (non-CGI)	32281	32281	62715.574	132742.914228	32237	-28301.31498448692	121440.23456901404	649	3304	6844	442207	0.07299974898633445
HepG2_skew	[0.5,1.0)	dELS	non-CpG ti	236578	236578	36088.695	7475.404871	236265	-29106.115958430815	560489.9251808267	10083	20609	39233	442207	0.5349937924998925
HepG2_skew	[0.5,1.0)	dELS	non-CpG tv	172093	172093	9930.759	982.807831	171796	14368.965993807422	405191.2265307956	9263	15825	29670	442207	0.3891684211240437
HepG2_skew	[0.5,1.0)	non-cCRE	CpG ti (CGI)	1023	1023	1083.326	1876.454898	1013	0.4249996884027694	3678.461138590675	89	289	268	1032136	9.911484533046033e-4
HepG2_skew	[0.5,1.0)	non-cCRE	CpG ti (non-CGI)	52984	52984	112704.508	255155.845418	52550	-47334.73498347587	148190.8415226169	294	2605	868	1032136	0.05133432028337351
HepG2_skew	[0.5,1.0)	non-cCRE	non-CpG ti	577087	577087	86675.909	17232.670159	572983	-109007.78686006296	732931.59235877	6074	20874	5736	1032136	0.5591191470891433
HepG2_skew	[0.5,1.0)	non-cCRE	non-CpG tv	401042	401042	25327.647	2927.477523	396936	-32832.95882649464	451051.1332954647	5601	15971	4942	1032136	0.3885553841741786
HepG2_skew	[0.5,1.0)	pELS	CpG ti (CGI)	1637	1637	815.217	754.539819	1636	918.193002220476	8854.330293843697	260	656	776	76474	0.021405968041425843
HepG2_skew	[0.5,1.0)	pELS	CpG ti (non-CGI)	4337	4337	6912.818	13376.948602	4326	-3125.391004106612	15993.424969655362	111	1025	1012	76474	0.05671208515312394
HepG2_skew	[0.5,1.0)	pELS	non-CpG ti	37614	37614	5561.022	1076.389818	37578	4161.5260119678	116110.45188361515	2810	9307	8230	76474	0.4918534403849674
HepG2_skew	[0.5,1.0)	pELS	non-CpG tv	32886	32886	2256.73	278.626304	32824	8626.750994901871	110229.91970035496	2932	9092	8176	76474	0.4300285064204828
HepG2_skew	[1.0,1.5)	PLS	CpG ti (CGI)	90	90	39.757	30.722061	90	82.6809997670352	636.2510598410781	23	33	57	2688	0.033482142857142856
HepG2_skew	[1.0,1.5)	PLS	CpG ti (non-CGI)	91	91	135.424	261.25486	91	-30.039999843575032	625.9214705343276	6	35	39	2688	0.033854166666666664
HepG2_skew	[1.0,1.5)	PLS	non-CpG ti	1332	1332	203.224	37.229608	1331	1045.776002232917	8625.372772112249	256	471	496	2688	0.4955357142857143
HepG2_skew	[1.0,1.5)	PLS	non-CpG tv	1175	1175	110.464	18.557746	1173	799.05300150637	7416.07465233557	200	409	459	2688	0.43712797619047616
HepG2_skew	[1.0,1.5)	dELS	CpG ti (CGI)	199	199	256.587	483.727959	198	-20.591000045533253	800.4377973173656	20	34	55	77274	0.002575251701736677
