ccre_class	mut_class	pleio_bin	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
PLS	non-CpG tv	3	326645	326645	26172.899999999987	3527.317904	326498	140346.19695903547	2313135.034748485	54826	141577	177053	0.08012643695755327	0.004378395691191802	1.1577625475922364e-4	0.07989951549822519	0.08035335841688135
dELS	CpG ti (CGI)	0	81739	81739	138265.04799999992	281620.20390800014	81580	-71449.53401198426	315710.6009233291	1890	16176	9443	1.691543180122095	0.5840478714226693	0.002673065265593991	1.6863039722015307	1.6967823880426594
dELS	CpG ti (CGI)	1	39811	39811	36853.11100000001	56626.47209100002	39749	-15683.855009742314	166521.5614227861	2615	8546	13330	0.9257017156062398	0.5654730975351122	0.003768811624356644	0.9183148448225008	0.9330885863899788
dELS	CpG ti (CGI)	2	16320	16320	10956.267000000005	12519.879993000004	16277	-2711.6589948056503	71059.43542424793	1375	4392	8995	0.6713398897058827	0.3164716535101292	0.004403594603919585	0.6627088442822002	0.6799709351295651
dELS	CpG ti (CGI)	3	15034	15034	7471.949	5900.558651	15034	-2867.207999791951	73749.29578836978	1288	3897	9468	0.49700339231076224	0.14547825788777974	0.0031107260986732864	0.4909063691573626	0.5031004154641618
dELS	CpG ti (non-CGI)	0	5969749	5969749	12207000.844999997	26746203.47124701	5959296	-4960808.728563349	20616337.23900255	110067	469270	772097	2.0448097306938697	0.29904266659207934	2.238146666652165e-4	2.0443710539472058	2.0452484074405337
dELS	CpG ti (non-CGI)	1	815548	815548	1489207.1220000004	3019776.17268	814617	-694609.0929435707	3232971.4354490787	20974	117384	224600	1.8260201999146592	0.36840781224285607	6.721089087833361e-4	1.824702866453444	1.8273375333758746
dELS	CpG ti (non-CGI)	2	149064	149064	227585.00400000002	413735.14613599965	148914	-115894.20099060517	637513.2889228172	5124	31212	62631	1.526760344549992	0.4445595957048248	0.0017269454080522336	1.5233755315502095	1.5301451575497744
dELS	CpG ti (non-CGI)	3	87678	87678	95925.59499999999	141286.1101070001	87645	-69028.36002515584	434412.5864025044	3456	18534	42652	1.0940668696822462	0.4144427234387945	0.0021741371756988656	1.0898055608178765	1.098328178546616
dELS	non-CpG ti	0	34971593	34971593	5180866.276999998	1059973.8170630003	34928412	3080799.258170624	74149656.62690781	1740732	2157966	3273270	0.14814498947760252	0.008362628643613645	1.5463710056805922e-5	0.14811468060589117	0.14817529834931387
dELS	non-CpG ti	1	3728229	3728229	545442.2270000002	108387.4266829999	3724341	627942.0782613646	9958642.758530343	250030	465131	723112	0.14630062343273448	0.0076682243753227524	4.5351965736022544e-5	0.14621173357989187	0.1463895132855771
dELS	non-CpG ti	2	654055	654055	94683.71599999993	18365.684597999985	653323	151495.57782940753	2235836.7452500868	55064	118552	201852	0.14476414980391547	0.007123076918701835	1.0435822460224345e-4	0.14455960768369508	0.14496869192413586
dELS	non-CpG ti	3	407448	407448	57848.558000000005	10873.145191999994	407255	57027.68286608707	1701705.2586684502	34856	77597	152705	0.1419777689422945	0.006528299363183611	1.2657966310997327e-4	0.14172967280259896	0.14222586508199003
dELS	non-CpG tv	0	23390563	23390563	1374086.5720000006	175404.8109479998	23351507	2640095.839087587	50253567.951662324	1213923	1467793	2316727	0.05874533981931092	0.004047941572960399	1.3155179553159774e-5	0.05871955566738672	0.058771123971235115
dELS	non-CpG tv	1	2581037	2581037	156937.02300000013	19761.141883	2577704	410702.9447598729	7106801.968108599	175311	328644	543738	0.06080386410578389	0.003959171613004123	3.9165623823701993e-05	0.06072709948308943	0.060880628728478346
dELS	non-CpG tv	2	481318	481318	30506.55399999998	3997.977668	480717	93218.41093022772	1752963.6790492206	40370	89821	161879	0.06338128638446927	0.004289133839699668	9.439929425534413e-5	0.0631962637677288	0.06356630900120974
dELS	non-CpG tv	3	318806	318806	20525.699000000015	2705.7272409999973	318630	19749.03892752458	1471450.1242939238	26924	63416	130307	0.06438303858773052	0.0043419029508409675	1.16701600668888e-4	0.0641543034504195	0.06461177372504154
non-cCRE	CpG ti (CGI)	0	148061	148061	153621.36600000004	264630.1732	147621	-53556.97598437278	488696.6868372817	7261	44199	35192	1.0375545619710798	0.7107903828884984	0.002191040636819998	1.0332601223229125	1.041849001619247
non-cCRE	CpG ti (non-CGI)	0	27885854	27885854	60724517.79999999	139978972.23058403	27641470	-23321081.60477574	69648181.72653687	134659	951742	195275	2.1776101173017683	0.2777267706687228	9.979686474524812e-5	2.1774145154468676	2.177805719156669
non-cCRE	non-CpG ti	0	222751202	222751202	34061511.53800008	7262683.776584034	220476708	-15119984.523968847	238652364.2549506	3175392	4959280	894154	0.15291280689924214	0.009222138560220472	6.4343664829186385e-6	0.15290019554093562	0.15292541825754866
non-cCRE	non-CpG tv	0	152089494	152089494	9357340.461999971	1455152.6430459986	149917297	-8577386.522966236	163469655.59281763	2294201	3451515	690847	0.061525225812112776	0.00578238602005617	6.16600585737675e-6	0.061513140440632316	0.061537311183593235
pELS	CpG ti (CGI)	0	28970	28970	28006.325999999975	44574.437055999995	28868	-14295.127994263894	96029.30752876408	1187	9677	5348	0.9667354504659985	0.6040846723909148	0.004566407456492792	0.9577852918512726	0.9756856090807244
pELS	CpG ti (CGI)	1	62762	62762	31875.461000000003	28372.582967000006	62750	-1739.9529943277594	218526.23263280332	5047	22879	22038	0.5078783499569803	0.19412894042800347	0.0017587202122921121	0.5044312583408878	0.5113254415730729
pELS	CpG ti (CGI)	2	60444	60444	26035.64600000002	17269.51897600001	60435	10610.1670049876	205772.6739575486	5708	24451	31367	0.4307399576467477	0.10017580068253208	0.0012873742339148733	0.42821670414827456	0.4332632111452209
pELS	CpG ti (CGI)	3	53285	53285	21256.22400000001	12237.957342000005	53285	15906.858001506074	270898.28054489824	6823	23011	33205	0.3989157173688657	0.07053741266584156	0.0011505547182247323	0.3966606301211452	0.4011708046165862
pELS	CpG ti (non-CGI)	0	705317	705317	1293184.0760000001	2659588.6619740003	704343	-567086.7008249549	2283599.0089896116	11816	123116	80932	1.833479238413366	0.40912513991066085	7.616157343099501e-4	1.8319864715741185	1.8349720052526135
pELS	CpG ti (non-CGI)	1	172641	172641	244843.09999999986	443351.64424799994	172485	-119710.92998010002	589824.845414021	4744	50720	43762	1.4182210483025461	0.5567076361002953	0.0017957323963315272	1.4147014128057362	1.421740683799356
pELS	CpG ti (non-CGI)	2	54795	54795	52789.79500000003	77394.17490900002	54732	-27018.57799895818	198386.4294053605	2416	21335	22137	0.9634053289533722	0.48429034368076646	0.0029729146368061778	0.9575784162652321	0.9692322416415122
pELS	CpG ti (non-CGI)	3	34596	34596	23505.109	26264.91478900001	34586	-11441.438981047717	177843.70942924454	2387	13852	17521	0.679416955717424	0.2975905532132905	0.0029328957495194322	0.6736684800483659	0.6851654313864821
pELS	non-CpG ti	0	3816220	3816220	556877.8670000006	110958.66151299996	3812673	296847.30288904597	7732136.006927776	175817	596906	328744	0.14592394227796107	0.0077817462239504085	4.5156661893641946e-5	0.14583543522064954	0.1460124493352726
pELS	non-CpG ti	1	1002696	1002696	146424.65200000018	28372.12338399998	1001983	249474.9869348089	2785247.7189966207	76863	296314	196755	0.1460309525519202	0.0069708056541186786	8.33790314920984e-5	0.14586752965019567	0.14619437545364472
pELS	non-CpG ti	2	429175	429175	63326.531000000025	12020.643442999999	428949	179403.50001005467	1565269.616357979	46772	167766	147254	0.14755410030873192	0.00623652442976968	1.2054636139500466e-4	0.1473178294403977	0.14779037117706614
pELS	non-CpG ti	3	321611	321611	47603.96899999998	8982.932210999988	321506	162012.5180177017	1736053.59766063	44551	132726	141103	0.14801722888831534	0.006021966467257621	1.3683705514707116e-4	0.14774902826022707	0.1482854295164036
pELS	non-CpG tv	0	2658021	2658021	158898.70599999998	20742.376934	2654405	203898.56899368277	5494302.608691953	124767	433480	247572	0.059780831678906965	0.004229945650001834	3.989221855375083e-5	0.059702642930541616	0.059859020427272314
pELS	non-CpG tv	1	785175	785175	53187.22499999994	7237.881013000007	784179	167560.3600225069	2232578.7770391745	60128	238372	172723	0.06773932562804463	0.004629565242192094	7.678685366795057e-5	0.06758882339485545	0.06788982786123382
pELS	non-CpG tv	2	372553	372553	27554.59200000002	3919.7330340000008	372265	130459.08802709822	1349184.5307365535	38929	146292	142408	0.0739615356741189	0.00505098105715768	1.164377587725357e-4	0.07373331766692473	0.07418975368131306
pELS	non-CpG tv	3	296442	296442	22171.456000000013	3025.8203579999995	296309	118628.89500754305	1646292.6644296087	38960	123851	141598	0.07479188509050679	0.004613313841738394	1.2474887359794948e-4	0.07454737729825481	0.07503639288275876
