skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean
mean_skew	[-0.05,0.05)	dELS	SINGLETON	23788997	23784062	3446476.451999995	2401815.342230002	23760337	3335872.399961265	51672228.37692633	1287782	1587506	2178885	0.14039667871551084
mean_skew	[-0.05,0.05)	dELS	ULTRARARE	16275589	16271412	5691029.745	8877585.922664996	16253219	-58424.897215240235	38259450.73393784	788492	1121539	1555465	-0.0035946662144428275
mean_skew	[-0.05,0.05)	non-cCRE	COMMON	6756585	6750031	2358808.747	3866124.131883	6681957	-2354442.452265195	9994150.251554454	64855	184983	21676	-0.35235821665197714
mean_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	7552031	7543392	3097836.881	5630403.286584999	7441417	-1627908.8452249817	9904319.690307802	89118	163847	25751	-0.21876328731812525
mean_skew	[-0.05,0.05)	non-cCRE	RARE	18765390	18744677	8634668.970999999	16357172.362945013	18473431	-4049496.711595069	24954500.16118036	226952	414227	65318	-0.21920653026473907
mean_skew	[-0.05,0.05)	non-cCRE	SINGLETON	158920606	158864337	21492458.530999996	12361508.164721144	157262336	-5664589.250048489	163127293.59466228	2418887	3286622	522025	-0.036019999410720246
mean_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	108282032	108222862	33545236.191000003	51317936.27781896	106879577	-14855524.864773652	129000141.11105186	1449166	2335951	372192	-0.13899311058064584
mean_skew	[-0.05,0.05)	pELS	COMMON	124469	124362	37615.538	51894.260666	124304	-30890.98495918396	290726.89168623614	3993	29319	14918	-0.24851159221894678
mean_skew	[-0.05,0.05)	pELS	LOW_FREQ	145894	145767	52105.611	79605.703385	145601	-13794.485994701856	353066.8444368415	6035	29750	18251	-0.09474169816623414
mean_skew	[-0.05,0.05)	pELS	RARE	373150	372531	144149.94	228083.180678	372589	-28898.268015522262	956085.551604416	16992	77384	47582	-0.0775607117105504
mean_skew	[-0.05,0.05)	pELS	SINGLETON	3347989	3346094	499844.03	326058.865952	3345446	441544.9258854584	7528685.858261446	185040	695977	415839	0.1319838747615291
mean_skew	[-0.05,0.05)	pELS	ULTRARARE	2272368	2268895	689917.406	942749.127448	2269997	11604.611099602584	5519408.375857963	113616	475788	288512	0.005112170236173256
mean_skew	[-0.2,-0.05)	PLS	COMMON	6917	6907	2529.386	3484.332968	6904	-1221.4529924193637	28056.68232209679	519	2675	2630	-0.1769196107212288
mean_skew	[-0.2,-0.05)	PLS	LOW_FREQ	9620	9611	3976.717	5907.046721	9604	1440.9520117762731	49564.06936667088	1133	3330	3993	0.1500366526214362
mean_skew	[-0.2,-0.05)	PLS	RARE	26670	26462	11591.338	17696.732808	26624	7313.466999594237	144213.90927106826	3544	9323	11272	0.2746945237227403
mean_skew	[-0.2,-0.05)	PLS	SINGLETON	213568	213392	41876.333	30385.454925	213415	126865.7909916769	1206382.0645009954	34653	75327	92998	0.5944558301510058
mean_skew	[-0.2,-0.05)	PLS	ULTRARARE	159465	158942	55887.691	73184.426825	159319	65105.44796857377	902739.5316316022	23450	55398	68646	0.4086483593832108
mean_skew	[-0.2,-0.05)	dELS	COMMON	278394	278255	200195.509	396465.810935	277893	-115124.62499263734	731500.1694475929	8024	27702	40768	-0.4142768079535553
mean_skew	[-0.2,-0.05)	dELS	LOW_FREQ	337834	337653	293003.367	620114.326063	337082	-103660.9800077706	919496.4420480886	12163	28237	52180	-0.3075245192794946
mean_skew	[-0.2,-0.05)	dELS	RARE	892803	892284	854078.337	1834003.205259	890892	-280993.01795013127	2550630.8489884464	34438	75516	139951	-0.31540637692350054
mean_skew	[-0.2,-0.05)	dELS	SINGLETON	5761379	5759965	1258390.195	1560286.611137	5752658	699841.893647804	13586777.71186468	329040	463008	856505	0.12165539714820593
mean_skew	[-0.2,-0.05)	dELS	ULTRARARE	4766211	4764727	3384421.134	6726727.264134	4757892	-802246.5601523755	12911494.88325361	216452	399718	734694	-0.16861386516389518
mean_skew	[-0.2,-0.05)	non-cCRE	COMMON	1119489	1118287	844285.768	1791535.19825	1106032	-563317.6295593904	2061066.389948441	9538	41204	7992	-0.5093140429566146
mean_skew	[-0.2,-0.05)	non-cCRE	LOW_FREQ	1288423	1286427	1185714.901	2695997.156175	1267197	-524408.422469524	2226607.6094076247	13252	38715	10352	-0.41383338381445345
mean_skew	[-0.2,-0.05)	non-cCRE	RARE	3358744	3354021	3436814.964	7916043.188558	3302754	-1445334.0606092596	6018484.321187523	34462	104590	27340	-0.43761480891681903
mean_skew	[-0.2,-0.05)	non-cCRE	SINGLETON	20536190	20524380	3996342.163999994	4864444.433794003	20295664	-947674.6430034908	23133162.049249187	341725	579865	168473	-0.04669345348856242
mean_skew	[-0.2,-0.05)	non-cCRE	ULTRARARE	16778842	16765529	11690835.659999996	24441975.799612004	16556897	-4750544.942385264	25733639.945109542	213403	515092	142937	-0.28692241924228096
mean_skew	[-0.2,-0.05)	pELS	COMMON	39070	39029	21627.108	37748.288628	38998	-12949.404999810858	105167.41037425004	1360	10058	7181	-0.33205305399791935
mean_skew	[-0.2,-0.05)	pELS	LOW_FREQ	48756	48703	32264.798	60986.950944	48634	-8977.21298751445	147057.97128524235	2363	11236	9929	-0.1845871815502416
mean_skew	[-0.2,-0.05)	pELS	RARE	130120	129885	93558.42	179640.712852	129853	-22933.93198848737	398890.04376545	6770	29978	26781	-0.17661457177336964
mean_skew	[-0.2,-0.05)	pELS	SINGLETON	944733	944198	207303.569	215843.005703	943845	193854.82797306209	2661781.9883588688	69810	231039	202571	0.20538841438272396
mean_skew	[-0.2,-0.05)	pELS	ULTRARARE	737430	736446	407508.434	710444.7965620001	736478	-23580.65695328253	2226660.6881401604	45545	175843	155550	-0.032018141686897005
mean_skew	[-0.5,-0.2)	PLS	COMMON	2236	2233	785.682	1047.743572	2233	234.3319994235644	11704.513565526526	261	971	1003	0.10494043861332934
mean_skew	[-0.5,-0.2)	PLS	LOW_FREQ	3321	3318	1311.647	1920.631891	3318	1919.2839989573697	19336.02906417189	595	1218	1686	0.5784460515242223
