skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	n_in	n_out	prop_in	gw_in	gw_out	odds	lci	uci	pval
mean_skew	[-1.5,-1.0)	PLS	12488	12484	3734.4	4474.651794	12471	34667.54797589255	229699.88482884175	5986	5002	8467	5002	7486	0.40054452274183217	630473	1221791	1.2972680754233956	1.2513306682228527	1.3449175974319245	6.685613560540733e-45
mean_skew	[-1.5,-1.0)	dELS	123550	123532	81675.89	166782.881494	123277	10906.66699808242	464089.6376422137	9652	12780	52160	12780	110770	0.10343990287333063	5439935	68287483	1.449434172012859	1.4230377058785275	1.476272645148745	9.4764646934e-313
mean_skew	[-1.5,-1.0)	non-cCRE	194394	194316	168252.253	377884.552397	192343	-67118.15683932623	308199.29107094585	1844	9057	4682	9057	185337	0.04659094416494336	9414653	393678981	2.044643647666299	2.0017231592537525	2.088263191780396	0
mean_skew	[-1.5,-1.0)	pELS	20503	20485	10170.348	17591.603004	20470	15736.004017203477	145111.3701435394	3673	5733	10109	5733	14770	0.2796176169341072	2429006	8436266	1.3490696977060714	1.308297228623411	1.3909861940853494	1.0230438869162371e-78
mean_skew	[0.05,0.2)	PLS	313963	313022	51076.427	30089.251579	313720	86324.60595887485	1640181.6259570287	40148	109027	116234	109027	204936	0.34726066447320225	630473	1221791	1.0374206894503084	1.029078222133743	1.0458569591933777	4.79018057693546e-19
mean_skew	[0.05,0.2)	dELS	11150681	11148116	2075569.804	1840973.8854980003	11134829	-625822.7076987294	26637324.95422929	509217	860464	1341812	860464	10290217	0.07716694612642941	5439935	68287483	1.0590214119393166	1.0564680253940069	1.0615422184358903	0
mean_skew	[0.05,0.2)	non-cCRE	46523755	46499324	8207783.258999991	6971771.180948983	45962942	-7068293.57159667	57314339.16248618	591546	1247765	268865	1247765	45275990	0.02681995466617	9414653	393678981	1.1756726173047063	1.173424716589103	1.1779486108840476	0
mean_skew	[0.05,0.2)	pELS	1700743	1699282	289315.886	213072.229398	1698953	41004.2370044001	4556654.496905348	98582	395931	286391	395931	1304812	0.23279884144753205	2429006	8436266	1.0643780442132806	1.0602400464129804	1.0685184784726796	4.2600115663455144e-216
mean_skew	[0.2,0.5)	PLS	90126	89984	14702.7	9000.873186	90065	49253.06397302752	556200.0747032574	15079	32706	37790	32706	57420	0.3628919512682245	630473	1221791	1.1095005470316834	1.0940999901655908	1.1251124463111666	5.481533919156135e-48
mean_skew	[0.2,0.5)	dELS	1965695	1965104	410725.89	456709.371276	1962468	-120462.2980002238	4755142.694265989	91144	173052	313389	173052	1792643	0.08803603814426958	5439935	68287483	1.218761988913114	1.2127028558130883	1.2249308568651849	0
mean_skew	[0.2,0.5)	non-cCRE	5469817	5465663	1097316.176	1242129.829532	5413034	-927647.2686759564	6956406.747256499	67586	191483	54242	191483	5278334	0.0350072040801365	9414653	393678981	1.5276616978129962	1.5206497162398984	1.5347975662912332	0
mean_skew	[0.2,0.5)	pELS	341338	341026	62004.751	53277.346503	340898	46903.91304374405	1072494.9119457202	26040	88786	78155	88786	252552	0.2601116781606502	2429006	8436266	1.2293974368125027	1.2198524583942119	1.2389673510697141	0
mean_skew	[0.5,1.0)	PLS	22121	22082	3744.936	2420.061784	22112	15838.655993747749	153735.72575786046	4216	8118	9445	8118	14003	0.3669816011934361	630473	1221791	1.125124225686311	1.0944602519695277	1.1566059659928054	6.666496952599376e-17
mean_skew	[0.5,1.0)	dELS	430682	430562	100076.533	125478.202031	430015	-45979.97994193973	1053573.761858926	19199	40128	78481	40128	390554	0.09317315327782448	5439935	68287483	1.2919552673528423	1.2786737723516253	1.305358668403435	0
mean_skew	[0.5,1.0)	non-cCRE	980225	979565	205153.035	246698.509443	971731	-188892.2386758631	1270950.02350537	11061	39341	12659	39341	940884	0.040134662960034685	9414653	393678981	1.7516055606720622	1.733881601258264	1.769444847234237	0
mean_skew	[0.5,1.0)	pELS	79046	78971	14929.523	13674.780841	78929	14842.88599718642	274456.0389814463	6890	21373	20243	21373	57673	0.2703868633453938	2429006	8436266	1.289692877838799	1.2694792928517051	1.3101641651561007	3.4373339046404692e-211
mean_skew	[1.0,1.5)	PLS	3727	3724	594.125	325.030951	3724	3048.672004914376	27979.369480083056	753	1352	1497	1352	2375	0.3627582506037027	630473	1221791	1.1037414946789155	1.0316693907123577	1.1804922790169952	0.004080032527776473
mean_skew	[1.0,1.5)	dELS	75500	75485	17670.426	23087.171904	75365	-8887.001986477291	183639.34996868137	3317	7135	14191	7135	68365	0.09450331125827814	5439935	68287483	1.3106794649287012	1.2789199032390217	1.3430681759737502	1.4314147157448995e-97
