skew_type	skew_bin	ccre_class	n_COMMON	n_SINGLETON	n_MR_COMMON	n_MR_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	n_tf_chip_peak_COMMON	n_tf_chip_peak_SINGLETON	n_tf_footprint_COMMON	n_tf_footprint_SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[0.05,0.2)	PLS	5783	167634	5767	167517	1075.49	23530.045	828.6894560000001	10239.802995	5771	167525	-1755.717002143618	60500.15599244276	25205.378238688052	865338.3094748408	378	22572	2194	57307	1998	61129	271223115	11777645	1.2587066515290994	1.2261154509784977	1.292371841275924	0.3319420942591768	0.2940948295280672	0.37002122203118043
HepG2_skew	[0.05,0.2)	dELS	246965	6130469	246859	6129329	63089.124	829565.812	76634.159734	428282.080084	246605	6122601	-92033.72799663628	96096.14272855142	613751.3409577558	14033519.520945072	6873	297049	24061	467505	30094	713238	271223115	11777645	1.0797278684476583	1.075325417023476	1.0841608537078335	0.11066774543306747	0.10477331700704427	0.116578820926575
HepG2_skew	[0.05,0.2)	non-cCRE	1063108	25273917	1062187	25264848	264669.057	3283027.355999992	332102.178717	1431716.2588180008	1051618	25006698	-468519.0397600776	-2420962.5549919866	1850942.2845411275	28723166.247611236	9041	345353	37269	667440	5962	142343	271223115	11777645	1.0356754697804047	1.0335964834020794	1.0377927766179291	0.050572003520598444	0.047673066681809734	0.05351839938806658
HepG2_skew	[0.05,0.2)	pELS	35064	937237	35040	936791	7653.487	126447.792	7906.619885	60238.309242	35007	936478	-11633.346994421674	79345.14603991131	91791.8749437004	2410379.008389759	1116	56701	9153	217023	5656	153898	271223115	11777645	1.1612264221605249	1.1489176162044863	1.1737180098965712	0.21564930405471883	0.20027535241883274	0.23108583724645113
HepG2_skew	[0.2,0.5)	Other cCREs	17046	363093	17031	362875	5726.321	50685.927	9133.355857	31575.459883	16894	361185	-8659.261004138854	-30831.53894436371	35853.84119843106	537219.2396485972	239	8365	834	13306	1053	19918	271223115	11777645	0.9248350770585648	0.910735367719584	0.939193498009728	-0.11273197760808286	-0.1348961837147734	-0.09050567411144927
HepG2_skew	[0.2,0.5)	PLS	1469	43651	1464	43627	268.827	6063.2660000000005	229.817083	2667.000986	1467	43634	-268.9269996501972	27687.729991517397	5663.900757589011	273913.3719510065	106	7606	620	15591	530	17626	271223115	11777645	1.289542335584759	1.2241672212417247	1.359240880857117	0.3668591374819868	0.291800643633582	0.44280114913189716
HepG2_skew	[0.2,0.5)	dELS	46837	1097438	46820	1097206	14008.306	152440.335	19770.827686	96217.277247	46747	1095844	-20665.945989353244	12214.384957701548	121551.838768401	2541209.822614674	1238	54095	5235	93964	7855	166135	271223115	11777645	1.0175228066204403	1.0081384795901966	1.0270119501935004	0.02506113122809643	0.011693823456969099	0.038452968788139405
HepG2_skew	[0.2,0.5)	non-cCRE	130270	2948947	130172	2947771	40329.439	392013.579	61503.962119	223778.508603	129081	2921681	-66673.57996519645	-315771.1143408725	248199.8135631258	3479903.4177227607	1023	40461	5782	98970	1234	27894	271223115	11777645	0.9828048383121143	0.977331692225624	0.9883112641093195	-0.02502313483511539	-0.03307981978006742	-0.01696261131128675
HepG2_skew	[0.2,0.5)	pELS	6880	185453	6872	185363	1649.146	25709.71	1935.684942	14031.378848	6861	185278	-2177.849000604358	32121.572024612335	19052.725889282257	554436.0783182121	266	14143	2017	47263	1507	40297	271223115	11777645	1.1704701027595892	1.1426462461730638	1.1991720929253427	0.22708808425655636	0.19237882622508515	0.262038714460209
HepG2_skew	[0.5,1.0)	Other cCREs	3683	73737	3680	73688	1315.335	10578.236	2198.236473	6923.728738	3653	73272	-2045.9669979832845	-8488.332998475527	8283.066087277739	108230.02178775107	43	1538	193	2747	330	4537	271223115	11777645	0.8691329502456515	0.8408360693913282	0.8986068591356258	-0.202351213602441	-0.25010353689095655	-0.15423802078120263
