skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
HepG2_skew	[0.05,0.2)	pELS	non-CpG transition	941328	941328	145899.157	32585.973903	940537	367.3109726258249	2481048.594038974	52167	209776	141054	1734318	0.5427655135909332
HepG2_skew	[0.05,0.2)	pELS	non-CpG transversion	696622	696622	42517.127	4689.0283469999995	695763	91451.02604921302	1781725.3651704332	43371	166989	121002	1734318	0.401669128729564
HepG2_skew	[0.2,0.5)	PLS	CpG transition	7826	7826	5965.445	8389.935269	7817	1742.918998478914	46103.136465919124	1128	2908	3891	81276	0.09628918746001279
HepG2_skew	[0.2,0.5)	PLS	non-CpG transition	34956	34956	5082.483	947.578875	34937	21172.658987898052	216921.67748086675	5951	12114	13138	81276	0.43009006348737633
HepG2_skew	[0.2,0.5)	PLS	non-CpG transversion	38494	38494	2871.426	376.575134	38469	21589.762980733656	238703.94204124855	6388	14078	15785	81276	0.47362074905261087
HepG2_skew	[0.2,0.5)	dELS	CpG transition	136930	136930	256855.401	530557.215429	136628	-117023.69699227031	506952.31511033716	2829	14863	25857	2061767	0.06641390613003312
HepG2_skew	[0.2,0.5)	dELS	non-CpG transition	1091432	1091432	166465.895	35509.107037	1089953	-83359.373005484	2561725.557545686	48648	92453	162925	2061767	0.5293672854401104
HepG2_skew	[0.2,0.5)	dELS	non-CpG transversion	833405	833405	47360.852	4592.917942	831959	65207.969962333824	1905426.6343671584	43746	73067	127396	2061767	0.4042188084298565
HepG2_skew	[0.2,0.5)	non-cCRE	CpG transition	304247	304247	629184.958	1391759.504612	301648	-261142.07279599624	811662.2971791341	1804	15141	4459	5592748	0.05440026977793385
HepG2_skew	[0.2,0.5)	non-cCRE	non-CpG transition	2944662	2944662	454346.938	97396.540464	2919354	-493232.9983782113	3736793.920818042	35521	96764	25822	5592748	0.5265143360652045
HepG2_skew	[0.2,0.5)	non-cCRE	non-CpG transversion	2343839	2343839	142727.174	15628.314006	2315516	-190121.2954326799	2663481.1931765904	34086	80609	22745	5592748	0.4190853941568617
HepG2_skew	[0.2,0.5)	pELS	CpG transition	25382	25382	32591.45	58455.910904000004	25342	-11994.390991603372	94764.72341434765	1278	6981	7074	343577	0.07387572509219185
HepG2_skew	[0.2,0.5)	pELS	non-CpG transition	168702	168702	24935.06	4980.695082	168530	17525.09001356502	502927.0077588445	11955	41176	33957	343577	0.4910165697936707
HepG2_skew	[0.2,0.5)	pELS	non-CpG transversion	149493	149493	9614.333	1090.703493	149284	32054.69301908649	453643.8690485455	11784	39566	33665	343577	0.43510770511413743
HepG2_skew	[0.5,1.0)	PLS	CpG transition	1741	1741	1426.815	2096.603357	1741	868.396999581135	11730.902373857238	297	615	897	17816	0.0977211495285137
