skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	skew_cell	matched
SKNSH_skew	[-1.5,-1.0)	Other cCREs	K562	16448	16441	9027.104	15948.822572	16414	5455.864000049188	78160.50530884277	1910	2569	8813	0.3323908858321669	4.651619194594931	0.01683429224981758	0.29939567302252446	0.3653860986418094	0.11636407944437675	0.002502873704273602	0.1114584469840005	0.12126971190475301	SK-N-SH	Mismatched
SKNSH_skew	[-1.5,-1.0)	Other cCREs	SK-N-SH	12629	12626	6995.022	11783.548388	12623	6273.108007184695	80214.34500023218	1956	2832	6124	0.49695856826306706	6.108134228048018	0.021997483216227603	0.453843501159261	0.5400736353668731	0.15495524043412817	0.0032207847368568524	0.14864250234988874	0.1612679785183676	SK-N-SH	Matched
SKNSH_skew	[-1.5,-1.0)	PLS	HepG2	8920	8920	1699.86	962.496134	8916	26733.642002843557	172347.16981827695	4677	4126	6214	2.998389636927272	10.340919201304228	0.03405607099231872	2.931639737782327	3.0651395360722167	0.5245625841184388	0.00528883847470832	0.5141964607080105	0.5349287075288671	SK-N-SH	Mismatched
SKNSH_skew	[-1.5,-1.0)	PLS	K562	9516	9516	1822.228	1067.995244	9512	27833.28800143058	178930.44821695666	4872	4310	6594	2.926123633455696	10.249900788475637	0.032826449347334474	2.8617837927349203	2.9904634741764715	0.5121951219512195	0.0051251297856404416	0.5021498675713643	0.5222403763310748	SK-N-SH	Mismatched
SKNSH_skew	[-1.5,-1.0)	PLS	SK-N-SH	9987	9986	1795.903	808.150539	9983	30511.762995258192	195866.3527471973	5312	4536	6927	3.056372132150475	10.27960835761471	0.03208911567881005	2.9934774654200074	3.119266798880943	0.5321045777822297	0.00499392896060111	0.5223164770194516	0.5418926785450079	SK-N-SH	Matched
SKNSH_skew	[-1.5,-1.0)	dELS	HepG2	5358	5358	2773.136	4770.690138	5358	3762.0759962745938	33931.93939829818	927	1119	3229	0.7021418432763333	5.841035733382171	0.033017453655180606	0.6374276341121794	0.7668560524404873	0.17301231802911535	0.005167573687185062	0.16288387360223264	0.18314076245599806	SK-N-SH	Mismatched
SKNSH_skew	[-1.5,-1.0)	dELS	K562	9130	9130	4768.468	8353.507828	9115	4347.113998862565	49831.44856679393	1196	1696	5291	0.4769187053058217	5.2400953024621	0.023976801968451714	0.4299241734476563	0.5239132371639871	0.13121228743828853	0.0035364355838742477	0.124280873693895	0.13814370118268204	SK-N-SH	Mismatched
SKNSH_skew	[-1.5,-1.0)	dELS	SK-N-SH	2948	2948	1348.607	1988.341481	2947	3564.891993565486	28092.793987418332	774	708	1891	1.209668134905153	8.072117358595946	0.05233637827430073	1.1070888334875235	1.3122474363227825	0.26263997285374957	0.008106439386229312	0.24675135165674011	0.278528594050759	SK-N-SH	Matched
SKNSH_skew	[-1.5,-1.0)	non-cCRE	HepG2	231877	231750	209694.167	465601.516569	229539	-84996.34983586486	380575.59789972333	2310	10435	5084	-0.370291540155986	1.520890521880316	0.002574072258203293	-0.37533672178206445	-0.3652463585299075	0.010063649314495576	2.0833063645272609e-4	0.009655321267048234	0.010471977361942919	SK-N-SH	Mismatched
SKNSH_skew	[-1.5,-1.0)	non-cCRE	K562	231877	231750	209694.167	465601.516569	229539	-84996.34983586486	380575.59789972333	2310	10435	5084	-0.370291540155986	1.520890521880316	0.002574072258203293	-0.37533672178206445	-0.3652463585299075	0.010063649314495576	2.0833063645272609e-4	0.009655321267048234	0.010471977361942919	SK-N-SH	Mismatched
