skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci
HepG2_skew	[0.05,0.2)	PLS	314062	313005	53372.794	35291.992652	313824	86611.98394107062	1641324.653220586	40252	108391	114779	0.2759890382541508	5.153926560740946	0.004052528111605868	0.2680460831554033	0.28393199335289826
HepG2_skew	[0.05,0.2)	dELS	11414484	11411880	2291858.632	2295891.87277	11398594	-619164.1525724578	27137024.708709385	520968	883119	1343508	-0.054319344348299256	2.377784005262551	4.567310719210634e-4	-0.05521453724926454	-0.05342415144733397
HepG2_skew	[0.05,0.2)	non-cCRE	47328095	47304594	8853903.960999988	8415987.702578986	46768889	-6985421.927460616	58240695.2197366	607753	1279122	267820	-0.14936044188393308	1.2229786073576385	1.6170777573343674e-4	-0.14967738912437062	-0.14904349464349553
HepG2_skew	[0.05,0.2)	pELS	1735803	1734318	314966.984	263972.602156	1733949	34988.06602674548	4606757.220046044	99242	403070	285857	0.02017825554658498	2.6563952447874306	0.0012377364689329933	0.017752292067476316	0.022604219025693647
HepG2_skew	[0.2,0.5)	Other cCREs	690805	690291	162766.611	208748.877027	686221	-103630.97989992936	1091892.6818380884	14811	26635	37722	-0.15101691714466528	1.5683638639691648	0.0015117898022341198	-0.15398002515704415	-0.1480538091322864
HepG2_skew	[0.2,0.5)	PLS	81441	81276	13919.354	9714.089278	81388	44472.41396624665	502121.661818374	13470	29184	32832	0.5464247059301942	5.870972466055535	0.008493268105488375	0.529777900443437	0.5630715114169514
HepG2_skew	[0.2,0.5)	dELS	2062271	2061767	470682.148	570659.240408	2059027	-135296.13903600973	4974576.593716979	95224	180427	316229	-0.06570877362754822	2.4116676770202905	0.0010822502892627807	-0.06782998419450327	-0.06358756306059317
HepG2_skew	[0.2,0.5)	non-cCRE	5595775	5592748	1226259.07	1504784.359082	5538647	-945043.7776055206	7214107.896547076	71416	192693	53074	-0.170627190648821	1.2733902350383284	4.794892934520479e-4	-0.17156698966398704	-0.16968739163365498
HepG2_skew	[0.2,0.5)	pELS	343883	343577	67140.843	64527.309479	343438	37511.76204115865	1051916.4767714057	25020	87821	74732	0.10922426184976225	3.0509796039791177	0.0029805435988413467	0.10338239639603321	0.11506612730349129
HepG2_skew	[0.5,1.0)	Other cCREs	141322	141205	35347.13	48151.9655	140283	-25763.620978487303	225944.40005283052	2745	5491	8840	-0.18365461943704728	1.5769150143760862	0.0033527534780713243	-0.19022601625406707	-0.1770832226200275
HepG2_skew	[0.5,1.0)	PLS	17858	17816	3254.745	2411.496203	17852	11937.740992818732	116467.04225081611	3228	6336	7245	0.6687060829497385	6.077205883829465	0.01845051681950593	0.632543069983507	0.7048690959159701
HepG2_skew	[0.5,1.0)	dELS	442302	442207	110288.955	144038.064811	441641	-43591.41194812929	1092499.429206778	20074	39990	76163	-0.09870327245008793	2.4639906127089435	0.0023620268613630314	-0.10333284509835948	-0.09407369980181639
HepG2_skew	[0.5,1.0)	non-cCRE	1032679	1032136	225791.39	277192.447998	1023856	-189273.8086703789	1336241.2488612155	12058	39763	11818	-0.1848637002375128	1.2709332788650367	0.0011141455653614408	-0.18704742554562123	-0.18267997492940438
HepG2_skew	[0.5,1.0)	pELS	76553	76474	15545.787	15486.504543	76437	10561.479004803234	251443.99671492144	6118	20107	18205	0.1381723380666854	3.2705098705765026	0.006541177215646385	0.1253516307240185	0.15099304540935232
HepG2_skew	[1.0,1.5)	Other cCREs	23980	23962	5477.616	7281.892408	23794	-4692.3409932889035	37280.62124282405	423	953	1542	-0.19720690061733645	1.5279813062202272	0.008013556289206343	-0.2129134709441809	-0.181500330290492
HepG2_skew	[1.0,1.5)	PLS	2692	2688	488.869	347.764275	2689	1894.591003714245	17310.657235781055	485	952	1051	0.7045708455612663	5.943371893713296	0.04701333413359181	0.6124247106594263	0.7967169804631062
HepG2_skew	[1.0,1.5)	dELS	77287	77274	18397.845	24134.581649	77154	-6414.3539848747905	187456.3188462464	3593	7140	13730	-0.0831370244559555	2.422758007363767	0.005603711853134226	-0.09412029968809858	-0.07215374922381242
HepG2_skew	[1.0,1.5)	non-cCRE	168921	168840	30572.126	31758.94482	167473	-37063.622949160286	224996.98090202425	1736	7177	2116	-0.22131103490807644	1.2945112744202185	0.002780228676894135	-0.22676028311478894	-0.21586178670136394
HepG2_skew	[1.0,1.5)	pELS	14213	14189	2672.721	2473.408355	14198	1954.3809977447395	44222.40790512267	1111	3834	3534	0.1376518522147302	3.0959627907902965	0.014766728168304986	0.10870906500485242	0.16659463942460798
HepG2_skew	[1.5,Inf)	Other cCREs	6762	6761	1132.686	968.847586	6730	-1333.9319966671756	10382.184587459966	120	242	391	-0.1982068345716457	1.5036097709714267	0.01494720660476404	-0.22750335951698322	-0.16891030962630818
HepG2_skew	[1.5,Inf)	PLS	639	635	106.196	58.20881	639	317.3670016091781	3351.6674273489966	97	223	242	0.49666197434926146	5.0063374698063905	0.08851352398198555	0.3231754673445698	0.6701484813539531
HepG2_skew	[1.5,Inf)	dELS	21611	21606	3929.639	3882.779997	21582	-2220.4879932982144	50272.09318292966	918	1942	3552	-0.10288610848383906	2.3188747423365053	0.01036556074314402	-0.12320260754040133	-0.08256960942727679
HepG2_skew	[1.5,Inf)	non-cCRE	46278	46261	6368.042	3551.5909739999997	45866	-10798.993986487856	61756.16164819518	443	1747	545	-0.2354466050339654	1.2910405576429609	0.005305477896082132	-0.24584534171028638	-0.2250478683576444
HepG2_skew	[1.5,Inf)	pELS	3892	3887	632.638	443.430172	3889	425.8620030671591	11455.262548202392	290	1040	949	0.10950424352459735	2.93431812029595	0.02746847989203832	0.05566602293620225	0.16334246411299247
K562_skew	(-Inf,-1.5)	Other cCREs	27720	27718	16785.133	33878.863817	27498	-4114.476989477175	55733.82179505223	784	1214	5797	-0.14962822712477908	2.004516125307163	0.008537962113464494	-0.16636263286716949	-0.13289382138238867
K562_skew	(-Inf,-1.5)	PLS	7488	7487	2309.711	2775.734031	7483	22621.244988732866	152118.06367408446	3738	2879	5445	3.023018173023235	11.191343086973301	0.03867258763959111	2.9472199012496363	3.0988164447968334
K562_skew	(-Inf,-1.5)	dELS	77516	77506	44803.511	88253.834627	77308	15000.002987178745	313168.97242011223	6801	8346	37458	0.19402911713119916	4.013330423940195	0.007205103764406325	0.17990711375296276	0.20815112050943557
K562_skew	(-Inf,-1.5)	non-cCRE	127232	127157	111632.764	246286.574132	125827	-45240.15387980665	190017.2497047872	920	6382	3197	-0.3595424978725285	1.3808870326856448	0.0033127766362952083	-0.3660355400796671	-0.3530494556653899
K562_skew	(-Inf,-1.5)	pELS	12993	12992	5828.845	9874.035713	12979	12152.777010878899	100006.45798873072	2557	3772	7416	0.9363415525756144	6.82904206304971	0.02293819696745715	0.8913826865193983	0.9813004186318304
K562_skew	[-0.05,0.05)	Other cCREs	19691538	19675986	5066339.591	7083649.112620993	19600413	-556880.2755180191	31301023.940310456	598320	579202	707873	-0.028411660280730774	1.5961502261842964	2.853673423644299e-4	-0.028970980271765055	-0.027852340289696492
K562_skew	[-0.05,0.05)	PLS	775278	769945	168418.317	163716.793491	774637	161166.33992035172	3503833.0092880386	82382	244903	237906	0.20805401745637211	4.479912765206975	0.002404837083029626	0.20334053677363403	0.2127674981391102
K562_skew	[-0.05,0.05)	dELS	46604016	46592399	12516122.282999992	17452655.224613056	46539941	2155324.4745509583	106742993.3824164	2355728	3205964	4406695	0.04631128506482116	2.2914334985448686	2.2189152486432834e-4	0.04587637767608708	0.04674619245355525
