Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Axon Extension (GO:0048675)	79	0.0349183366004553	0.134439242300976	0	0	30.7962962962963	103.313665083994	SEMA3A
Axon Guidance (GO:0007411)	80	0.0350330273097006	0.134439242300976	0	0	7.20348964013086	24.1422363834928	SEMA3A;PLA2G10
cGMP-mediated Signaling (GO:0019934)	81	0.0370608972539484	0.13875238362149	0	0	28.8697916666667	95.1315310108971	NPPB
Cyclic Nucleotide Biosynthetic Process (GO:0009190)	82	0.0370608972539484	0.13875238362149	0	0	28.8697916666667	95.1315310108971	NPPB
Positive Regulation of Macrophage Derived Foam Cell Differentiation (GO:0010744)	83	0.0391988297482204	0.14422731469874	0	0	27.1699346405229	88.0063631410011	PLA2G10
Positive Regulation of Response to External Stimulus (GO:0032103)	84	0.0394628483214794	0.14422731469874	0	0	6.73673469387755	21.7757915726978	CPT1A;EMILIN2
Negative Regulation of Double-Strand Break Repair via Homologous Recombination (GO:2000042)	85	0.0413321437759939	0.147546141153839	0	0	25.658950617284	81.7523618541942	RMI2
Positive Regulation of Blood Coagulation (GO:0030194)	86	0.0413321437759939	0.147546141153839	0	0	25.658950617284	81.7523618541942	EMILIN2
Phosphatidylserine Metabolic Process (GO:0006658)	87	0.0434608490200362	0.151148370796347	0	0	24.3070175438597	76.2242491579748	PLA2G10
Negative Regulation of Cell Communication (GO:0010648)	88	0.0434608490200362	0.151148370796347	0	0	24.3070175438597	76.2242491579748	KIF26A
Regulation of Systemic Arterial Blood Pressure (GO:0003073)	89	0.0455849551583073	0.151148370796347	0	0	23.0902777777778	71.3068774020994	NPPB
Regulation of Platelet Aggregation (GO:0090330)	90	0.0455849551583073	0.151148370796347	0	0	23.0902777777778	71.3068774020994	EMILIN2
Regulation of Neuron Projection Development (GO:0010975)	91	0.0467515521855726	0.151148370796347	0	0	6.1191094619666	18.742268234537	KIF26A;SEMA3A
Long-Chain Fatty Acid Transport (GO:0015909)	92	0.0477044718339271	0.151148370796347	0	0	21.989417989418	66.9078647970469	CPT1A
Establishment of Protein Localization to Vacuole (GO:0072666)	93	0.0477044718339271	0.151148370796347	0	0	21.989417989418	66.9078647970469	STAM2
Phosphatidylethanolamine Metabolic Process (GO:0046337)	94	0.0477044718339271	0.151148370796347	0	0	21.989417989418	66.9078647970469	PLA2G10
Positive Regulation of Nervous System Process (GO:0031646)	95	0.0477044718339271	0.151148370796347	0	0	21.989417989418	66.9078647970469	NCMAP
