Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Phase 4 - Resting Membrane Potential	137	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	KCNK6
ERBB2 Regulates Cell Motility	138	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	DIAPH1
Role of LAT2 NTAL LAB on Calcium Mobilization	139	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	FCER1G
SUMOylation of DNA Methylation Proteins	140	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	PHC1
Hyaluronan Metabolism	141	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	HAS1
The NLRP3 Inflammasome	142	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	PSTPIP1
Plasma Lipoprotein Assembly, Remodeling, and Clearance	143	0.163681588598629	0.555143849442904	0	0	2.83713298791019	5.13473483952177	ZDHHC8;PRKACB
RHO GTPases Activate Formins	144	0.17148190854504	0.55605958982381	0	0	2.14915966386555	3.78956489526418	DIAPH1;CENPH;SCAI
Defective GALNT12 Causes CRCS1	145	0.171562836232196	0.55605958982381	0	0	5.66048109965636	9.9783282762162	GALNT12
Receptor-type Tyrosine-Protein Phosphatases	146	0.171562836232196	0.55605958982381	0	0	5.66048109965636	9.9783282762162	SLITRK6
HDMs Demethylate Histones	147	0.171562836232196	0.55605958982381	0	0	5.66048109965636	9.9783282762162	PHF2
Specification of the Neural Plate Border	148	0.171562836232196	0.55605958982381	0	0	5.66048109965636	9.9783282762162	MYB
IL-6-type Cytokine Receptor Ligand Interactions	149	0.171562836232196	0.55605958982381	0	0	5.66048109965636	9.9783282762162	IL11RA
Bacterial Infection Pathways	150	0.171977192729013	0.55605958982381	0	0	2.74527828848404	4.83276981143432	SV2C;CTNND1
PKA Activation in Glucagon Signalling	151	0.181255924868604	0.567155635879181	0	0	5.30637886597938	9.06247418957452	PRKACB
CD28 Dependent PI3K Akt Signaling	152	0.181255924868604	0.567155635879181	0	0	5.30637886597938	9.06247418957452	AKT2
Pre-NOTCH Processing in Golgi	153	0.181255924868604	0.567155635879181	0	0	5.30637886597938	9.06247418957452	RFNG
Regulation of TP53 Activity Through Methylation	154	0.181255924868604	0.567155635879181	0	0	5.30637886597938	9.06247418957452	JMY
Listeria Monocytogenes Entry Into Host Cells	155	0.181255924868604	0.567155635879181	0	0	5.30637886597938	9.06247418957452	CTNND1
Infectious Disease	156	0.18304292428852	0.567825428322289	0	0	1.35601731601732	2.30256431359839	TAF12;CEBPD;CTNND1;ATP1A1;ZDHHC8;CD79B;PSTPIP1;SV2C;AKT2;NCL;AP1S1;PRKACB;AP1M2
PKA Activation	157	0.19083617487945	0.567825428322289	0	0	4.99393571861734	8.27165519919916	PRKACB
PKA-mediated Phosphorylation of CREB	158	0.19083617487945	0.567825428322289	0	0	4.99393571861734	8.27165519919916	PRKACB
CD209 (DC-SIGN) Signaling	159	0.19083617487945	0.567825428322289	0	0	4.99393571861734	8.27165519919916	PRKACB
Prostacyclin Signalling Through Prostacyclin Receptor	160	0.19083617487945	0.567825428322289	0	0	4.99393571861734	8.27165519919916	PTGIR
Inflammasomes	161	0.19083617487945	0.567825428322289	0	0	4.99393571861734	8.27165519919916	PSTPIP1
Synthesis of Very Long-Chain Fatty acyl-CoAs	162	0.19083617487945	0.567825428322289	0	0	4.99393571861734	8.27165519919916	ELOVL7
Lewis Blood Group Biosynthesis	163	0.19083617487945	0.567825428322289	0	0	4.99393571861734	8.27165519919916	B3GALT2
SUMOylation of DNA Damage Response and Repair Proteins	164	0.19299621299368	0.570750995743505	0	0	2.5396334390225	4.17791214478286	NSMCE4A;PHC1
Cell-Cell Communication	165	0.194879191191987	0.572826713503721	0	0	2.01279527559055	3.29167596902296	CTNND1;LAMC2;NECTIN4
G Alpha (12 13) Signalling Events	166	0.19724063570099	0.576275351295062	0	0	2.5021334958854	4.06179035619428	ADRA1D;ARHGEF1
Immune System	167	0.198580519671199	0.576715880482226	0	0	1.23292206778073	1.99309326285055	EGR1;FCER1G;CEBPD;IL11RA;GMFG;FGL2;DEFB124;IL19;NFATC2;SLA2;MAPK13;CD79B;MRC2;CNN2;DIAPH1;NPEPPS;PSTPIP1;ZEB1;AKT2;SLCO4C1;AP1S1;LTB;PRKACB;AP1M2
Respiratory Syncytial Virus (RSV) Attachment and Entry	168	0.200304893136946	0.578261149829873	0	0	4.71620847651775	7.58326050172695	NCL
MAPK Family Signaling Cascades	169	0.209491164727383	0.583578041920027	0	0	1.61092353525323	2.51799223265161	SHC2;SYNGAP1;NRTN;PRKACB;RGL2
Presynaptic Function of Kainate Receptors	170	0.209663371347794	0.583578041920027	0	0	4.46771568095496	6.97969788316844	GRIK3
Estrogen-dependent Nuclear Events Downstream of ESR-membrane Signaling	171	0.209663371347794	0.583578041920027	0	0	4.46771568095496	6.97969788316844	AKT2
FGFR2 Alternative Splicing	172	0.209663371347794	0.583578041920027	0	0	4.46771568095496	6.97969788316844	ESRP2
SUMOylation of Transcription Factors	173	0.209663371347794	0.583578041920027	0	0	4.46771568095496	6.97969788316844	HIC1
Cell-cell Junction Organization	174	0.210039470043805	0.583578041920027	0	0	2.39597168503247	3.73881752838411	CTNND1;NECTIN4
PCP CE Pathway	175	0.21432485359526	0.583578041920027	0	0	2.36255037420841	3.63894752725237	WNT1;WNT4
MITF-M-dependent Gene Expression	176	0.21861845885707	0.583578041920027	0	0	2.33004471573568	3.54266351576801	DIAPH1;AKT2
Basigin Interactions	177	0.21891288650344	0.583578041920027	0	0	4.24407216494845	6.4470911149908	MAG
