Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation of Potassium Ion Export Across Plasma Membrane (GO:1903764)	83	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	KCNH2
Regulation of Skeletal Muscle Contraction (GO:0014819)	84	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	DMPK
Positive Regulation of Rac Protein Signal Transduction (GO:0035022)	85	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	PIK3CG
Positive Regulation of Granulocyte Differentiation (GO:0030854)	86	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	HCLS1
Galactolipid Biosynthetic Process (GO:0019375)	87	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	B3GALT2
Galactosylceramide Biosynthetic Process (GO:0006682)	88	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	B3GALT2
Interleukin-3-Mediated Signaling Pathway (GO:0038156)	89	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	FCER1G
Intracellular Water Homeostasis (GO:0009992)	90	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	AQP4
Prepulse Inhibition (GO:0060134)	91	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	DRD1
Locomotor Rhythm (GO:0045475)	92	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	EGR1
Negative Regulation of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034316)	93	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	GMFG
Regulation of Blood Vessel Branching (GO:1905553)	94	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	CTNND1
Regulation of Chemokine (C-C Motif) Ligand 5 Production (GO:0071649)	95	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	DEFB124
Negative Regulation of Cholesterol Biosynthetic Process (GO:0045541)	96	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	SCAP
Negative Regulation of Cholesterol Metabolic Process (GO:0090206)	97	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	SCAP
Positive Regulation of Protein Localization to Membrane (GO:1905477)	98	0.046989669397073	0.415246432947362	0	0	3.88754734848485	11.8874491955568	AKT2;ZDHHC8;DSG3
Striated Muscle Tissue Development (GO:0014706)	99	0.0477406713743928	0.415246432947362	0	0	6.09141376757957	18.5299076545424	MYOZ1;BMP7
Liver Development (GO:0001889)	100	0.0477406713743928	0.415246432947362	0	0	6.09141376757957	18.5299076545424	PHF2;WNT4
Sphingolipid Metabolic Process (GO:0006665)	101	0.0504118053818994	0.415246432947362	0	0	3.77274816176471	11.271197929257	SGMS1;SPNS2;ELOVL7
Sarcomere Organization (GO:0045214)	102	0.0506499433027833	0.415246432947362	0	0	5.88100768268715	17.541970679179	MYOZ1;MYPN
Sphingolipid Biosynthetic Process (GO:0030148)	103	0.0521672264554596	0.415246432947362	0	0	3.71784420289855	10.9799123588991	SGMS1;SPNS2;ELOVL7
Neuron Projection Extension (GO:1990138)	104	0.0536213461545689	0.415246432947362	0	0	5.6846286701209	16.6321322733271	NRN1;DCLK1
Negative Regulation of Cell Cycle (GO:0045786)	105	0.0539519313327037	0.415246432947362	0	0	3.66450892857143	10.6991266954874	BTG3;NPPC;BMP7
Cellular Response to Glucose Stimulus (GO:0071333)	106	0.0566530466448868	0.415246432947362	0	0	5.50091927126859	15.7920913731852	LIN28A;TRA2B
ADP Transport (GO:0015866)	107	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	SLC25A23
C-X-C Chemokine Receptor CXCR4 Signaling Pathway (GO:0038159)	108	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	ENTREP1
Regulation of Hormone Biosynthetic Process (GO:0046885)	109	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	EGR1
Negative Regulation of Meiotic Cell Cycle (GO:0051447)	110	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	NPPC
Negative Regulation of miRNA Processing (GO:1903799)	111	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	LIN28A
Negative Regulation of Morphogenesis of an Epithelium (GO:1905331)	112	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	CTNND1
Regulation of Lens Fiber Cell Differentiation (GO:1902746)	113	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	SPRY1
Regulation of Long-Chain Fatty Acid Import Across Plasma Membrane (GO:0010746)	114	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	AKT2
Regulation of Male Gonad Development (GO:2000018)	115	0.0571021599475809	0.415246432947362	0	0	21.2409793814433	60.8110831319639	WNT4
