skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
K562_skew	(-Inf,-1.5)	Other cCREs	27720	27718	16785.133	33878.863817	27498	-4114.476989477175	55733.82179505223	784	1214	5797
K562_skew	(-Inf,-1.5)	PLS	7488	7487	2309.7110000000002	2775.734031	7483	22621.244988732862	152118.06367408446	3738	2879	5445
K562_skew	(-Inf,-1.5)	dELS	77516	77506	44803.511	88253.834627	77308	15000.002987178745	313168.97242011223	6801	8346	37458
K562_skew	(-Inf,-1.5)	non-cCRE	127232	127157	111632.764	246286.574132	125827	-45240.15387980665	190017.24970478722	920	6382	3197
K562_skew	(-Inf,-1.5)	pELS	12993	12992	5828.845	9874.035713	12979	12152.777010878901	100006.45798873073	2557	3772	7416
K562_skew	[-0.05,0.05)	Other cCREs	19691538	19675986	5066339.591	7083649.112620993	19600413	-556880.2755180191	31301023.940310456	598320	579202	707873
K562_skew	[-0.05,0.05)	PLS	775278	769945	168418.317	163716.793491	774637	161166.33992035172	3503833.0092880386	82382	244903	237906
K562_skew	[-0.05,0.05)	dELS	46604016	46592399	12516122.282999992	17452655.224613056	46539941	2155324.4745509583	106742993.38241641	2355728	3205964	4406695
K562_skew	[-0.05,0.05)	non-cCRE	305015868	304842950	73334727.49099976	98642764.82331797	301308114	-30646600.691104185	347721360.498521	4329689	6547325	1045603
K562_skew	[-0.05,0.05)	pELS	6478899	6472736	1566094.934	1885002.942854	6472897	315874.7740591614	15306157.299600946	335693	1351678	800559
K562_skew	[-0.2,-0.05)	Other cCREs	3794408	3791560	1671951.373	3139049.890951	3772614	-524460.6983037713	6266123.52639993	93182	133428	200357
K562_skew	[-0.2,-0.05)	PLS	380547	379857	100375.168	107643.703858	380193	176400.8299417423	2124506.6829153625	57250	134742	166344
K562_skew	[-0.2,-0.05)	dELS	10360293	10357149	4669737.991	8487382.283433	10344572	-480421.0374391456	25885073.795922637	504624	842515	1546921
K562_skew	[-0.2,-0.05)	non-cCRE	39462481	39443915	16633371.497999985	31445447.22477799	39022000	-7046441.370340482	51693912.50325221	532575	1130698	306589
K562_skew	[-0.2,-0.05)	pELS	1651046	1649307	606714.95	929914.039806	1648952	105820.18400666212	4748026.639043344	107550	399041	351956
K562_skew	[-0.5,-0.2)	Other cCREs	934359	933555	469809.035	903384.778187	928710	-182896.85769349322	1580752.24997662	20084	37143	75379
K562_skew	[-0.5,-0.2)	PLS	169681	169474	43476.009	43825.554170999996	169583	167486.6029719647	1284062.6366893414	38601	62322	89361
K562_skew	[-0.5,-0.2)	dELS	2716152	2715064	1355131.443	2514826.199375	2711671	-190423.89301352415	7239456.212905698	137770	248153	594989
K562_skew	[-0.5,-0.2)	non-cCRE	6815161	6810573	3621842.435	7001261.180355	6749794	-1777047.1530565007	9667859.623764502	78462	250104	94444
K562_skew	[-0.5,-0.2)	pELS	478900	478318	183447.50400000002	279096.478524	478203	98821.7010202317	1738438.1782750762	43653	126280	147931
