skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-0.5,-0.2)	Inactive cCRE	HepG2	3501893	3500293	1853548.128	3558609.655386	3492018	-232816.52395658675	9218680.649259713	176563	327919	678684
HepG2_skew	[-0.5,-0.2)	Inactive cCRE	K562	3419850	3418300	1816063.914	3506426.39463	3410252	-238172.99400920718	8921939.011722252	170411	303725	635794
HepG2_skew	[-0.5,-0.2)	Inactive cCRE	MCF-7	3515969	3514429	1845346.57	3542112.645276	3505986	-213286.8449620139	9179639.219683263	176119	322093	679827
HepG2_skew	[-0.5,-0.2)	Inactive cCRE	SK-N-SH	3484825	3483280	1839143.739	3548225.781213	3474885	-288601.4639546684	8721380.314830702	161894	306637	664619
HepG2_skew	[-0.5,-0.2)	Other cCREs	H1	229089	229054	79980.314	112671.704258	228733	70969.2459455525	1035904.5860944916	26025	42268	111305
HepG2_skew	[-0.5,-0.2)	Other cCREs	HCT116	160741	160699	56311.201	84454.293929	160421	59389.165908865405	730538.6576730389	18581	21692	78971
HepG2_skew	[-0.5,-0.2)	Other cCREs	HepG2	189052	189007	68081.729	102914.577439	188786	57381.429935477776	797808.9916203964	20060	30805	83336
HepG2_skew	[-0.5,-0.2)	Other cCREs	K562	232452	232379	92663.022	142050.778078	232031	51466.31294881973	937911.1420976655	22512	38716	103599
HepG2_skew	[-0.5,-0.2)	Other cCREs	MCF-7	187219	187128	81904.336	133597.389858	187043	20123.89693924842	769197.2857193556	17208	32089	74612
HepG2_skew	[-0.5,-0.2)	Other cCREs	SK-N-SH	257827	257728	108782.355	165503.60361700002	257593	74293.80993882513	1237427.4859960293	31032	56143	104794
HepG2_skew	[-0.5,-0.2)	PLS	H1	86178	86159	15002.778	6200.511482	86133	129559.11896873683	897695.2258359828	26660	36443	54207
HepG2_skew	[-0.5,-0.2)	PLS	HCT116	79795	79774	14209.979	6552.934299	79775	117080.21798373247	813525.8096646178	24366	34389	50550
HepG2_skew	[-0.5,-0.2)	PLS	HepG2	74931	74918	13593.26	6945.118104	74886	107818.86296019614	765747.3224510152	22566	32660	46870
HepG2_skew	[-0.5,-0.2)	PLS	K562	81770	81755	14763.752	7131.942566	81744	116800.49396498867	810238.047254014	24274	35167	51447
HepG2_skew	[-0.5,-0.2)	PLS	MCF-7	86270	86255	15336.393	6820.220393	86225	129947.75295628984	879158.6840250769	26717	36854	54422
HepG2_skew	[-0.5,-0.2)	PLS	SK-N-SH	94139	94118	16589.985	6851.092017	94091	143933.92195999282	967147.4568353652	29342	39525	58743
HepG2_skew	[-0.5,-0.2)	dELS	H1	41330	41324	15176.512	22017.306946	41276	20308.47900438436	226769.82991331216	5826	7921	21092
HepG2_skew	[-0.5,-0.2)	dELS	HCT116	103520	103497	42179.209	68410.676793	103380	29100.02295120363	445770.6704746358	11095	20192	50549
HepG2_skew	[-0.5,-0.2)	dELS	HepG2	109140	109133	41731.703	66281.489567	109090	37576.90298529297	474407.46688641957	12345	20850	44221
HepG2_skew	[-0.5,-0.2)	dELS	K562	105678	105659	44842.373	72019.659707	105569	19516.497010413208	419046.47060896724	9523	20376	45398
HepG2_skew	[-0.5,-0.2)	dELS	MCF-7	77799	77777	33351.113	53345.056639	77730	20677.932978775927	368130.602617359	9008	17230	37434
HepG2_skew	[-0.5,-0.2)	dELS	SK-N-SH	38930	38926	15088.605	21057.173823	38882	25469.461971125223	271186.4487233929	6945	9110	21345
HepG2_skew	[-0.5,-0.2)	non-cCRE	H1	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790
HepG2_skew	[-0.5,-0.2)	non-cCRE	HCT116	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790
HepG2_skew	[-0.5,-0.2)	non-cCRE	HepG2	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790
HepG2_skew	[-0.5,-0.2)	non-cCRE	K562	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790
HepG2_skew	[-0.5,-0.2)	non-cCRE	MCF-7	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790
HepG2_skew	[-0.5,-0.2)	non-cCRE	SK-N-SH	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790
HepG2_skew	[-0.5,-0.2)	pELS	H1	44568	44564	8757.129	5573.744931	44558	47454.53800541316	337527.9970388444	10019	18430	25924
HepG2_skew	[-0.5,-0.2)	pELS	HCT116	74648	74640	16472.942	13639.955936	74637	62610.08000866873	485003.36211487005	14105	31147	41940
HepG2_skew	[-0.5,-0.2)	pELS	HepG2	68955	68948	15594.216	13923.188712	68917	58425.48398924283	440974.59166589996	13022	28217	36384
HepG2_skew	[-0.5,-0.2)	pELS	K562	104221	104206	24215.975	21045.254227	104101	78775.84599860862	608484.3502005448	17836	42467	53257
HepG2_skew	[-0.5,-0.2)	pELS	MCF-7	76714	76710	16610.624	12798.717042	76713	70923.41800132266	501493.22983838676	15504	32185	43200
HepG2_skew	[-0.5,-0.2)	pELS	SK-N-SH	68250	68247	12944.352	7036.378538	68246	73290.42599834819	500477.31549795286	15343	29036	39994
HepG2_skew	[-1.0,-0.5)	Inactive cCRE	H1	825610	825360	506656.028	1018991.76356	823276	-29514.842074631124	2530855.3348705787	49118	79603	224677
HepG2_skew	[-1.0,-0.5)	Inactive cCRE	HCT116	810599	810366	502599.5	1010829.495994	808272	-50823.94503927674	2408453.613613828	45652	77897	214301
HepG2_skew	[-1.0,-0.5)	Inactive cCRE	HepG2	810444	810203	500691.47	1005847.522248	808096	-36004.56905781654	2483416.10785143	47729	77111	220812
HepG2_skew	[-1.0,-0.5)	Inactive cCRE	K562	786088	785857	485490.983	981242.645573	783864	-44404.321054205866	2339994.505502168	44616	70891	205491
HepG2_skew	[-1.0,-0.5)	Inactive cCRE	MCF-7	821995	821765	499993.192	1003171.97187	819628	-24589.715091045946	2510915.250658498	48704	76767	226810
HepG2_skew	[-1.0,-0.5)	Inactive cCRE	SK-N-SH	823052	822824	502810.12200000003	1012239.1332	820645	-45973.82906345351	2397388.486700138	45573	74340	228359
HepG2_skew	[-1.0,-0.5)	Other cCREs	H1	71852	71847	27662.37	40127.56913	71740	61023.1779586022	538181.6653425181	13871	12843	46600
HepG2_skew	[-1.0,-0.5)	Other cCREs	HCT116	58591	58578	20540.814	29942.576668	58485	67056.31795212966	522245.2663346804	13242	7556	40066
HepG2_skew	[-1.0,-0.5)	Other cCREs	HepG2	63653	63639	23965.506	36514.534264	63566	61814.99394798722	510407.479167911	12989	9998	39631
HepG2_skew	[-1.0,-0.5)	Other cCREs	K562	79104	79082	34827.248	55244.594764	78943	65231.560938004295	598458.5059968363	14807	12733	49157
