skew_type	skew_bin	ccre_class	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	non-CpG-tv	5352	5352	372.672	42.922252	5315	-2181.396999616408	10085.203082946615	49	225	130
HepG2_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	unknown	12	0	0	0	12	-8.793000198900689	38.490858878978415	0	3	0
HepG2_skew	(-Inf,-1.5)	pELS	COMMON	CpG	53	53	90.599	191.000761	53	-58.400000289082534	165.8106775900375	0	15	16
HepG2_skew	(-Inf,-1.5)	pELS	COMMON	non-CpG-ti	24	24	3.0829999999999997	0.710721	24	-3.472999967634669	49.34121716880073	0	5	10
HepG2_skew	(-Inf,-1.5)	pELS	COMMON	non-CpG-tv	23	23	1.163	0.074185	23	0.3149999603629089	23.66572682235944	0	2	11
HepG2_skew	(-Inf,-1.5)	pELS	LOW_FREQ	CpG	56	56	121.073	290.096963	56	-26.753999767825004	148.6557542891958	3	11	18
HepG2_skew	(-Inf,-1.5)	pELS	LOW_FREQ	non-CpG-ti	24	24	3.775	0.6959230000000001	24	19.122999604791413	139.98898907984864	3	5	12
HepG2_skew	(-Inf,-1.5)	pELS	LOW_FREQ	non-CpG-tv	32	32	2.147	0.27586499999999997	32	48.049999624490745	319.88283040950773	10	8	18
HepG2_skew	(-Inf,-1.5)	pELS	RARE	CpG	209	209	419.871	956.551815	209	-105.94599965075037	805.0992847160373	9	49	79
HepG2_skew	(-Inf,-1.5)	pELS	RARE	non-CpG-ti	78	78	9.856	1.463732	78	95.96700019016866	650.0532472738258	16	24	40
HepG2_skew	(-Inf,-1.5)	pELS	RARE	non-CpG-tv	105	105	5.909	0.486267	105	88.52699939860034	657.4090307318806	19	27	49
HepG2_skew	(-Inf,-1.5)	pELS	SINGLETON	CpG	447	447	599.508	1136.287706	447	158.4659993872048	3354.852093683777	64	133	204
HepG2_skew	(-Inf,-1.5)	pELS	SINGLETON	non-CpG-ti	880	880	118.843	19.016105	880	1287.0339990502698	8245.202521024354	213	209	486
HepG2_skew	(-Inf,-1.5)	pELS	SINGLETON	non-CpG-tv	952	952	57.004	5.540876	951	889.4440020003824	7814.167582210039	189	255	500
HepG2_skew	(-Inf,-1.5)	pELS	ULTRARARE	CpG	1021	1021	1875.319	4161.8336070000005	1021	-220.48100210074324	5336.868798508395	87	218	421
HepG2_skew	(-Inf,-1.5)	pELS	ULTRARARE	non-CpG-ti	576	576	85.772	15.940076	576	690.5880006137307	4277.929306618652	119	149	320
HepG2_skew	(-Inf,-1.5)	pELS	ULTRARARE	non-CpG-tv	542	542	32.084	3.027354	542	586.6140023320917	4351.576473542861	108	142	291
HepG2_skew	[-0.05,0.05)	Other cCREs	COMMON	CpG	56749	56749	111981.802	246971.557204	56207	-47421.2759902106	156318.9932599422	459	2811	2132
HepG2_skew	[-0.05,0.05)	Other cCREs	COMMON	non-CpG-ti	230330	230330	34413.979	7227.587835	229363	-50633.88398531139	378371.2129252946	5062	8645	7945
HepG2_skew	[-0.05,0.05)	Other cCREs	COMMON	non-CpG-tv	136744	136744	9705.381	3444.450799	136014	-25688.022996560318	218707.30837413113	3211	5136	5011
HepG2_skew	[-0.05,0.05)	Other cCREs	COMMON	unknown	470	0	0	0	352	-178.03000082075604	481.5120172651168	0	21	10
HepG2_skew	[-0.05,0.05)	Other cCREs	LOW_FREQ	CpG	72598	72598	159333.567	370900.417927	71766	-58411.0719781653	196969.00328325012	700	3067	2818
HepG2_skew	[-0.05,0.05)	Other cCREs	LOW_FREQ	non-CpG-ti	251342	251342	39268.525	8613.463669	250201	-9796.188988167798	373037.734457644	6918	7054	8865
