skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-0.5,-0.2)	PLS	SINGLETON	75938	75893	14339.947	9700.773815	75881	102319.68096044289	690158.3453802866	20859	27911	40685
HepG2_skew	[-0.5,-0.2)	PLS	ULTRARARE	55396	55315	18225.746	23195.334362	55354	62390.289961104536	475733.06850852986	13899	20365	29252
HepG2_skew	[-0.5,-0.2)	dELS	COMMON	58152	58133	44247.06	89674.70238	58029	-25696.012974750476	156121.33529715615	1718	6545	12515
HepG2_skew	[-0.5,-0.2)	dELS	LOW_FREQ	72592	72569	66432.571	143891.516369	72425	-22754.03700822254	206794.1981907932	2855	6866	16924
HepG2_skew	[-0.5,-0.2)	dELS	RARE	193324	193244	193603.012	423822.122348	192975	-63178.55998598344	591571.9525716417	8204	18472	45965
HepG2_skew	[-0.5,-0.2)	dELS	SINGLETON	1205697	1205466	275189.83400000003	350927.103558	1203785	175522.87691650627	3273269.4556547236	79109	111021	281001
HepG2_skew	[-0.5,-0.2)	dELS	ULTRARARE	1019797	1019569	760435.676	1545344.796502	1018010	-168002.68717122189	3041003.943007353	52194	97420	243117
HepG2_skew	[-0.5,-0.2)	non-cCRE	COMMON	141384	141272	123574.866	268278.941122	140009	-82268.29593982035	286098.1765900682	1051	6441	1818
HepG2_skew	[-0.5,-0.2)	non-cCRE	LOW_FREQ	164694	164545	176106.135	409463.704413	162596	-79769.2009309521	312037.99869325594	1591	6437	2355
HepG2_skew	[-0.5,-0.2)	non-cCRE	RARE	436343	435951	513730.279	1208885.002919	430897	-224062.38878051328	866037.778963408	4227	17106	6612
HepG2_skew	[-0.5,-0.2)	non-cCRE	SINGLETON	2358975	2357873	549795.269	738218.082407	2335948	-237199.7623049686	3004136.0018845308	39758	86411	40536
