vep_consequence	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
incomplete terminal codon variant	COMMON	CpG	1	1	2.207	4.870849	1	-6.40700006484985	41.049649830986	0
incomplete terminal codon variant	COMMON	non-CpG-ti	2	2	0.305	0.053357	2	-1.070000022649765	0.702500034570694	0
incomplete terminal codon variant	COMMON	non-CpG-tv	2	2	0.04	8e-4	2	-1.6169999837875362	6.40496884284592	0
incomplete terminal codon variant	LOW_FREQ	CpG	1	1	2.303	5.303809	1	-1.21300005912781	1.47136914344406	0
incomplete terminal codon variant	LOW_FREQ	non-CpG-ti	7	7	1.256	0.301012	7	0.42499992251396096	52.47788846516466	1
incomplete terminal codon variant	LOW_FREQ	non-CpG-tv	3	3	0.155	0.009573	3	6.122999876737598	51.66330406934734	1
incomplete terminal codon variant	LOW_FREQ	unknown	2	0	0	0	2	-0.4480000138282799	1.8939699944543829	0
incomplete terminal codon variant	RARE	CpG	6	6	13.448	31.523902	6	0.06999994814395616	12.718143547796993	1
incomplete terminal codon variant	RARE	non-CpG-ti	16	16	2.342	0.385072	16	18.52900009974837	101.71302198942949	4
incomplete terminal codon variant	RARE	non-CpG-tv	6	6	0.299	0.018827	6	5.457999885082235	15.348841456182528	1
incomplete terminal codon variant	RARE	unknown	17	0	0	0	17	20.40199917554856	229.8437527739134	6
incomplete terminal codon variant	SINGLETON	CpG	7	7	11.123	21.541839	7	3.1859999299049435	87.91271386249926	2
incomplete terminal codon variant	SINGLETON	non-CpG-ti	90	90	13.423	2.829789	90	62.65000033192339	697.4731349312215	20
incomplete terminal codon variant	SINGLETON	non-CpG-tv	56	56	3.218	0.295164	56	13.29700030293312	424.5756925671832	8
incomplete terminal codon variant	ULTRARARE	CpG	17	17	35.071	75.495079	17	-23.47999988496304	190.68822838134682	1
incomplete terminal codon variant	ULTRARARE	non-CpG-ti	57	57	8.892	2.249742	57	53.67300047539172	426.33786437830526	11
incomplete terminal codon variant	ULTRARARE	non-CpG-tv	38	38	1.845	0.133701	38	10.757999978028261	241.0983527808461	3
incomplete terminal codon variant	ULTRARARE	unknown	11	0	0	0	11	37.3879994452	246.1239569342342	8
intergenic variant	COMMON	CpG	402328	402328	849501.144	1997184.138568	391570	-350437.94375233445	989365.5478992335	1433
intergenic variant	COMMON	non-CpG-ti	1574180	1574180	243626.861	50984.368299	1537312	-489461.79558516794	2095884.9345294174	15281
intergenic variant	COMMON	non-CpG-tv	997839	997839	75856.853	27136.077287	966833	-296287.4547095131	1313238.2711078422	9949
intergenic variant	COMMON	unknown	4298	0	0	0	1870	-1143.8760000676848	3285.6917562394387	0
intergenic variant	LOW_FREQ	CpG	498017	498017	1173064.568	2926270.452738	480168	-423729.81772554485	1239574.434216392	2147
