vep_consequence	mut_class	n_COMMON	n_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	log2odds	log2lci	log2uci
missense variant	non-CpG transversion	15787	1056370	939.61	60469.66	105.852288	5737.561542	15739	1055212	21252.72695915623	3645910.569388607	179283.66665015413	25865717.797768336	4769	598237	116922263	4010613	2.306915629392796	2.270895803651835	2.343730235868254	1.205965241436401	1.1832615118557215	1.2288065246355795
non coding transcript exon variant	CpG transition	58872	290430	110384.267	466596.037	237767.633587	916477.330251	58677	289954	-47001.10200269114	-144010.77097747166	266833.19926791143	1308952.4276623384	1998	15949	6454395	1815018	1.4054665782984224	1.392877524056632	1.4182857308009515	0.49104914713951636	0.4780684071105037	0.5041482102101372
non coding transcript exon variant	non-CpG transition	179381	4486686	26557.316	639958.9619999999	5698.738008	121622.893174	179000	4480020	-27370.46497390035	747457.6667959031	497823.0833051035	11265767.660919484	8227	258983	160782109	6484763	1.0090487003683866	1.0042282244248155	1.0139220701557259	0.012995805846090752	0.006087178480781735	0.019946771354669764
non coding transcript exon variant	non-CpG transversion	108946	3276935	7460.89	185787.68	2294.494224	19017.00696	108576	3270493	-9865.078009593652	535311.1528879037	288758.7701486335	8777570.281003185	5150	196933	116922263	4010613	1.032646015990979	1.0263466774557504	1.039013107400514	0.04634579292992343	0.03751812409004328	0.05521385430222387
non coding transcript variant	non-CpG transition	0	7	0	0.954	0	0.158354	0	7	0	-1.221000000834465	0	16.38038927382085	0	1	160782109	6484763	0.322664106237548	0.04325938644642782	14.317328984083181	-1.6318949962482607	-4.530842986263393	3.839690465922318
non coding transcript variant	non-CpG transversion	0	3	0	0.314	0	0.05075	0	3	0	0.27199998497962896	0	0.4330419566588416	0	0	116922263	4010613	0.13722466337342062	0.013578739658333972	6.75705855156538	-2.8653882946537212	-6.2025066110060045	2.7563953564793957
regulatory region variant	CpG transition	52945	183777	104275.475	349794.773	232187.336513	731201.475111	52753	183351	-48244.21498782572	-139444.55097715152	162799.51252741518	556831.8106681489	467	3174	6454395	1815018	0.9753792006287976	0.9658633973084753	0.9849856886728519	-0.03596488678426783	-0.05010893270133813	-0.02182533177083435
regulatory region variant	non-CpG transition	190237	4584681	27774.081	653576.959	5417.787113	118622.137673	189648	4572871	-43920.929976723965	314024.5381881824	339483.3760653963	7505581.53565311	4545	172801	160782109	6484763	0.9711758272069607	0.9666913726792344	0.9757102426102001	-0.042195581863216675	-0.048872728633013195	-0.0354753217044777
regulatory region variant	non-CpG transversion	116219	3302421	8260.995	190424.441	2771.132829	19849.618281	115749	3289697	-22890.64099606488	205595.44613573872	198572.3877904224	5644147.451284272	2810	128392	116922263	4010613	0.9739455282771335	0.9681866959078325	0.9797525376322912	-0.03808700870092005	-0.046642824980750265	-0.029510690367067105
splice acceptor variant	CpG transition	36	71	51.58	115.216	94.92634	233.105154	36	71	-11.171000448986891	94.34500011987984	98.7028341408944	983.7829418727038	2	21	6454395	1815018	0.5472148584482556	0.36319065538504397	0.8369287369279063	-0.8698206908357303	-1.4612010112097678	-0.25682330993452773
