avgKHS_skew_base_bin	loeuf_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(-0.5,-0.2]	6	29014	1.477842282798347	2.6707687273341607	0.015679509730801375	1.4471104437259763	1.5085741218707178
(-0.5,-0.2]	7	28702	1.3352850716142244	2.6314017277566486	0.015532132096941952	1.3048420927042181	1.3657280505242306
(-0.5,-0.2]	8	27573	1.2959541509380477	2.573086868393877	0.015495744180432267	1.2655824923444003	1.326325809531695
(-0.5,-0.2]	9	26394	1.1986698860119358	2.5206288329641637	0.015515161249445093	1.1682601699630235	1.229079602060848
(-0.5,-0.2]	10	25083	1.1730232555803	2.491437951277968	0.01573114508766519	1.1421902112084763	1.2038562999521236
(-0.2,-0.05]	1	86739	1.7591554662839841	2.799149768078217	0.009504273613308849	1.7405270900018988	1.7777838425660695
(-0.2,-0.05]	2	85114	1.4519155011030447	2.693212550694341	0.00923145440817085	1.4338218504630298	1.4700091517430596
(-0.2,-0.05]	3	84122	1.1922659466114376	2.57291861442	0.008870972935318577	1.1748788396582133	1.209653053564662
(-0.2,-0.05]	4	79775	0.8824778117136083	2.4710096849682013	0.008748649974704759	0.865330457763187	0.8996251656640296
(-0.2,-0.05]	5	78254	0.7086434159594819	2.4049891028787718	0.008597255624044078	0.6917927949363555	0.7254940369826083
(-0.2,-0.05]	6	75506	0.6022996319222302	2.3133239383036894	0.00841871330491106	0.5857989538446046	0.6188003099998559
(-0.2,-0.05]	7	75502	0.5025235547426818	2.219528846460698	0.008077585539766799	0.4866914870847389	0.5183556224006247
(-0.2,-0.05]	8	74551	0.5520574016194087	2.2186203652095453	0.008125615324621933	0.5361311955831498	0.5679836076556677
(-0.2,-0.05]	9	71948	0.4920767073781994	2.194118356335641	0.00817995073037193	0.47604400394667046	0.5081094108097284
(-0.2,-0.05]	10	71686	0.49821544251536326	2.136642324468796	0.007980216120193274	0.48257421891978447	0.513856666110942
(-0.05,0.05]	1	149089	1.1196999372206882	2.674818189470656	0.006927419168262821	1.106122195650893	1.1332776787904832
(-0.05,0.05]	2	154584	0.8096645121498244	2.4950512887395404	0.006345958198876687	0.797226434080026	0.8221025902196227
(-0.05,0.05]	3	159294	0.6241404691028596	2.395561881542306	0.006002161613110533	0.6123762323411629	0.6359047058645563
(-0.05,0.05]	4	162655	0.3850551102692367	2.2205236360522873	0.005505815972107744	0.37426371096390554	0.3958465095745679
(-0.05,0.05]	5	166531	0.2865283148524978	2.14116573029885	0.005246899416777295	0.2762443919956143	0.2968122377093813
(-0.05,0.05]	6	176772	0.25596782277272473	2.086580635266457	0.004962818983155792	0.24624069756573938	0.2656949479797101
(-0.05,0.05]	7	178090	0.19891658120879505	2.002991907563607	0.004746346365045037	0.18961374233330677	0.20821942008428332
(-0.05,0.05]	8	184723	0.2357737340138402	1.967284735962644	0.004577272158148057	0.22680228058387	0.24474518744381038
(-0.05,0.05]	9	189052	0.19923146544565776	1.904093345259249	0.004379228405682166	0.1906481777705207	0.2078147531207948
(-0.05,0.05]	10	207010	0.17789308697838963	1.7798834376172605	0.003911973454646717	0.17022561900728206	0.1855605549494972
(0.05,0.2]	1	65010	1.3430915852344152	2.788804673059446	0.010937750549645332	1.3216535941571104	1.36452957631172
(0.05,0.2]	2	65748	1.0240609750429777	2.6808534867874676	0.010455187036197022	1.0035688084520316	1.0445531416339238
(0.05,0.2]	3	65305	0.8249635402122567	2.583799907341429	0.010110803297967113	0.8051463657482412	0.8447807146762722
(0.05,0.2]	4	64154	0.5259127693689237	2.4084336941204487	0.009508736758457044	0.5072756453223479	0.5445498934154995
(0.05,0.2]	5	64849	0.37219162416810636	2.332136062795216	0.00915803381861381	0.35424187788362327	0.39014137045258945
(0.05,0.2]	6	65501	0.2740063661671202	2.25872156139409	0.008825488073493233	0.25670840954307345	0.29130432279116697
(0.05,0.2]	7	64484	0.2136129848602782	2.161096491981897	0.008510364741894387	0.19693266996616518	0.2302932997543912
(0.05,0.2]	8	65160	0.2543096016140555	2.1521546070980695	0.008431074545963431	0.2377846955039672	0.27083450772414386
(0.05,0.2]	9	64118	0.21065800553201736	2.090703248047116	0.0082566221508598	0.19447502611633216	0.22684098494770255
(0.05,0.2]	10	64077	0.2048918548506598	2.018352698418442	0.00797344447733073	0.18926390367509158	0.22051980602622803
(0.2,0.5]	1	17282	1.8541385837616884	2.9516701760181694	0.02245281648646107	1.8101310634482246	1.8981461040751522
(0.2,0.5]	2	17381	1.5037831546782106	2.848301466363301	0.021604716592172547	1.4614379101575523	1.5461283991988688
(0.2,0.5]	3	16945	1.3072859240540233	2.767784654642673	0.021262362129939177	1.2656116942793425	1.3489601538287042
(0.2,0.5]	4	16595	0.9146282160405311	2.609942407382577	0.020260133170202938	0.8749183550269334	0.9543380770541289
(0.2,0.5]	5	16829	0.6975937671075311	2.553959014972662	0.01968723694986359	0.6590067826857984	0.7361807515292638
(0.2,0.5]	6	16298	0.5623277706385833	2.4743637646587686	0.019381901867616333	0.5243392429780553	0.6003162982991113
(0.2,0.5]	7	15903	0.4200338476641953	2.319600703585735	0.018393894970850224	0.3839818135213289	0.4560858818070618
(0.2,0.5]	8	16267	0.4692113136527632	2.3145112952755946	0.01814703058690444	0.4336431337024305	0.5047794936030959
(0.2,0.5]	9	15578	0.48102291607725955	2.302000635587939	0.01844376539934296	0.44487313589454736	0.5171726962599718
(0.2,0.5]	10	14997	0.4501585969913069	2.2379822643389433	0.018274876249104805	0.41433983954306147	0.4859773544395523
(0.5,1]	1	2064	2.3849980607032086	3.148445268289275	0.06930128724954784	2.249167537694095	2.5208285837123223
(0.5,1]	2	2250	2.2539546619386197	3.0947881611252455	0.06524386309919962	2.1260766902641883	2.381832633613051
(0.5,1]	3	2211	2.0676820413637045	3.055207756888395	0.06497501324614686	1.9403310154012567	2.195033067326152
(0.5,1]	4	2120	1.3690099063687424	2.8580223118706405	0.06207227807370713	1.2473482413442765	1.4906715713932084
(0.5,1]	5	2193	1.1428513422245727	2.7780553677480095	0.05932279180914959	1.0265786702786395	1.259124014170506
(0.5,1]	6	2060	0.9807757264902848	2.911390377276039	0.06414559413581465	0.8550503619840881	1.1065010909964814
(0.5,1]	7	2059	0.8889397779873581	2.596329823982285	0.05721787028024918	0.7767927522380698	1.0010868037366465
(0.5,1]	8	2202	0.9161790108921432	2.632735502811002	0.05610461321379812	0.8062139689930988	1.0261440527911874
(0.5,1]	9	2107	0.8043203598220854	2.4839541529250235	0.0541142081561146	0.6982565118361008	0.91038420780807
(0.5,1]	10	2030	0.8470601572175088	2.4955481930743897	0.05538828806842795	0.7384991126033901	0.9556212018316276
(1,1.5]	1	98	3.5458265145366292	3.0463567192457672	0.30772849915598366	2.9426786561909015	4.148974372882357
(1,1.5]	2	100	2.8504900171235206	3.4283914968631235	0.34283914968631235	2.1785252837383484	3.5224547505086927
(1,1.5]	3	112	2.5714464080021053	3.3917771785340536	0.3204928184623368	1.9432804838159252	3.1996123321882854
(1,1.5]	4	99	2.7731919412059014	3.5473891960894073	0.35652602875118306	2.074400924853583	3.47198295755822
(1,1.5]	5	124	1.483951614839174	3.3557010949898056	0.30135085433861164	0.8933039403354952	2.074599289342853
(1,1.5]	6	132	1.6937803122158528	3.190367558801403	0.27768585313662514	1.1495160400680675	2.238044584363638
(1,1.5]	7	125	1.1865600136797871	2.7208134692347214	0.24335695485223477	0.709580382169407	1.6635396451901672
(1,1.5]	8	148	1.6309864865427186	3.2541925679594446	0.2674929813345764	1.1067002431269488	2.1552727299584884
(1,1.5]	9	114	1.3247982511876901	2.646457119865122	0.24786341894250277	0.8389859500603847	1.8106105523149956
(1,1.5]	10	164	1.678689016312469	2.804419136406961	0.2189883432225355	1.2494718635962996	2.1079061690286385
