avgKHS_skew_base_bin	moeuf_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(-1.5,-1]	8	2918	3.7251000688000406	3.0299755363773926	0.05609142563556861	3.615160874554326	3.835039263045755
(-1.5,-1]	9	2876	3.6848497889939362	3.118758374858539	0.058155030566865475	3.57086592908288	3.7988336489049925
(-1.5,-1]	10	2711	3.4299268255542286	3.0687290926643085	0.05893778251142629	3.314408771831833	3.545444879276624
(-1,-0.5]	1	14092	4.025223532129948	3.016157292055816	0.02540783549671759	3.975424174556381	4.075022889703514
(-1,-0.5]	2	13835	3.753777881946476	3.034978720041058	0.02580275439795703	3.7032044833264806	3.804351280566472
(-1,-0.5]	3	13890	3.4596895601892816	3.0430213898367575	0.025819859946848593	3.4090826346934584	3.510296485685105
(-1,-0.5]	4	12847	3.1861897711722307	3.0489071661449567	0.026899446204341503	3.1334668566117214	3.23891268573274
(-1,-0.5]	5	12471	2.9373014467154346	2.988872060745124	0.026764349088419064	2.884843322502133	2.989759570928736
(-1,-0.5]	6	12261	2.9072338367536776	3.016673646981034	0.027243655704607617	2.853836271572647	2.9606314019347084
(-1,-0.5]	7	11652	2.7975720054868303	2.9873127169815192	0.027674542474147745	2.743329902237501	2.8518141087361597
(-1,-0.5]	8	11091	2.7119032538553465	2.9616293010683385	0.028121944415823625	2.6567842428003323	2.7670222649103606
(-1,-0.5]	9	10974	2.602662655869721	3.0116341979148054	0.028748801358599623	2.5463150052068655	2.659010306532576
(-1,-0.5]	10	11714	2.6162439971146028	2.9946842811199	0.027669316630007466	2.562012136519788	2.6704758577094174
(-0.5,-0.2]	1	34494	2.57271406540709	2.9593041063137058	0.01593374333840235	2.5414839284638213	2.6039442023503585
(-0.5,-0.2]	2	33925	2.3476546086597128	2.9112089384860904	0.015805689565898066	2.3166754571105526	2.378633760208873
(-0.5,-0.2]	3	33100	2.1157838676134286	2.8513360391223403	0.015672360268145898	2.085066041487863	2.1465016937389945
(-0.5,-0.2]	4	31079	1.856469641683681	2.8104706826206507	0.015942100443543147	1.8252231248143365	1.8877161585530255
(-0.5,-0.2]	5	30338	1.656242337455443	2.7284045301187048	0.015664454963923047	1.6255400057261538	1.686944669184732
(-0.5,-0.2]	6	29597	1.7091699627105281	2.7948309254331996	0.016245448058408055	1.6773288845160483	1.741011040905008
(-0.5,-0.2]	7	28379	1.5180496768745855	2.6793273991244253	0.01590476443793841	1.4868763385762263	1.5492230151729447
(-0.5,-0.2]	8	28222	1.531135106761736	2.680948972372134	0.015958595033881647	1.499856260495328	1.562413953028144
(-0.5,-0.2]	9	27574	1.450921338609119	2.6623404486311215	0.016032959841438963	1.4194967373198988	1.4823459398983394
(-0.5,-0.2]	10	29644	1.4216467311107825	2.6403965614191818	0.015335599432582562	1.3915889562229207	1.4517045059986444
(-0.2,-0.05]	1	83097	1.3928985519782182	2.697971819041835	0.0093593294880336	1.3745542661816723	1.4112428377747641
(-0.2,-0.05]	2	83981	1.2432394343434787	2.6327705313117034	0.009084948869111065	1.225432934560021	1.2610459341269364
(-0.2,-0.05]	3	81891	1.0917022874276232	2.5337805751250793	0.008854232364596993	1.074347991993013	1.1090565828622334
(-0.2,-0.05]	4	78903	0.8801356238141547	2.474740408021111	0.008810141661035088	0.8628677461585259	0.8974035014697834
