avgKHS_skew_base_bin	alphmis_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(0.5,1]	6	1964	1.5922026441494432	2.9731580600066794	0.0670883724638526	1.4607094341202922	1.7236958541785943
(0.5,1]	7	1990	1.8484401961315307	3.0642533931594675	0.06869073089799788	1.7138063635714549	1.9830740286916064
(0.5,1]	8	1932	1.7684466885396142	3.0030612954247475	0.06832201016147157	1.6345355486231299	1.9023578284560985
(0.5,1]	9	1875	1.9434261340233796	2.984925781945459	0.0689339081486906	1.808315674051946	2.078536593994813
(0.5,1]	10	1582	1.8296251578361564	3.165114599995463	0.07957675028093704	1.6736547272855198	1.985595588386793
(1,1.5]	1	134	1.043320895766895	2.162159587060816	0.18678213983298708	0.6772279016942402	1.4094138898395496
(1,1.5]	2	117	1.6149145498330517	3.471281842128446	0.3209201198302873	0.9859111149656886	2.2439179847004147
(1,1.5]	3	100	1.0410399909131225	3.071978279298534	0.3071978279298534	0.43893224817060983	1.6431477336556353
(1,1.5]	4	104	1.663086522334756	3.184797661714077	0.31229510430624524	1.0509881178945153	2.2751849267749966
(1,1.5]	5	121	2.481239674501275	3.235661221800487	0.29415102016368067	1.9047036749804607	3.057775674022089
(1,1.5]	6	87	2.5101149220249726	3.328993451213865	0.35690556074393154	1.8105800229668667	3.2096498210830786
(1,1.5]	7	122	2.250114768846571	3.5616992909271774	0.32246110248320126	1.6180910079794963	2.8821385297136453
(1,1.5]	8	68	3.0129117797512337	3.266437056391801	0.3961136765569125	2.236528973699685	3.7892945858027822
(1,1.5]	9	112	2.7000267752612546	3.0441582290850153	0.28764591520320504	2.1362407814629725	3.2638127690595367
(1,1.5]	10	75	2.057240001880564	3.1426374732342914	0.36288051822744466	1.3459941861547724	2.768485817606355
