avgKHS_skew_base_bin	s_het_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(-0.2,-0.05]	7	79707	0.9131600807698068	2.4567304162246586	0.008701803479347533	0.8961045459502857	0.930215615589328
(-0.2,-0.05]	8	86245	1.2538638524417065	2.601378203898171	0.008858017498018686	1.2365021381455898	1.2712255667378232
(-0.2,-0.05]	9	87284	1.5534989800709733	2.6807722092038295	0.009073870823786955	1.535714193256351	1.5712837668855957
(-0.2,-0.05]	10	87956	1.868843557885584	2.843716946387789	0.009588565311740726	1.8500499698745723	1.8876371458965957
(-0.05,0.05]	1	200237	0.15720269489170977	1.7334039197266888	0.0038737145006750885	0.14961021447038658	0.16479517531303295
(-0.05,0.05]	2	189406	0.14180728893059585	1.8363224184730087	0.004219413324882626	0.1335372388138259	0.1500773390473658
(-0.05,0.05]	3	180585	0.1773128486664542	1.9641587058820853	0.004622061709910062	0.16825360771503048	0.1863720896178779
(-0.05,0.05]	4	172624	0.15871468910045164	2.028364146638923	0.004881972598448413	0.14914602280749276	0.16828335539341052
(-0.05,0.05]	5	171516	0.2194898723549976	2.0511942633178766	0.004952841994506602	0.20978230204576465	0.22919744266423053
(-0.05,0.05]	6	169661	0.2906054013053713	2.1420580897815444	0.005200441710515217	0.2804125355527615	0.30079826705798113
(-0.05,0.05]	7	169111	0.38921508877559596	2.2048220883407774	0.005361516196415405	0.37870651703062175	0.3997236605205702
(-0.05,0.05]	8	159854	0.6966971919451939	2.4470354591985704	0.006120381709463937	0.6847012437946446	0.7086931400957431
(-0.05,0.05]	9	154408	0.909583473444347	2.52859398542497	0.0064349355528790725	0.896970999760704	0.9221959471279899
(-0.05,0.05]	10	148134	1.2053317327943718	2.7259041632907466	0.007082444955895892	1.1914501406808158	1.2192133249079278
(0.05,0.2]	1	64129	0.07736681920889528	1.8500938965508238	0.007305779098802094	0.06304749217524318	0.09168614624254738
(0.05,0.2]	2	64953	0.09321170693239338	1.9776662508737852	0.007759851226294644	0.07800239852885588	0.10842101533593088
(0.05,0.2]	3	65340	0.15475733541836406	2.1161064188998693	0.008278429211314959	0.13853161416418674	0.17098305667254138
(0.05,0.2]	4	64796	0.18436297146433017	2.1985798253482978	0.008637103822968664	0.1674342479713116	0.20129169495734875
(0.05,0.2]	5	63449	0.28357687233481355	2.28261496537652	0.009061920951156804	0.2658155072705462	0.3013382373990809
(0.05,0.2]	6	65614	0.40429443420436667	2.3322827688248764	0.009105062819890233	0.3864485110773818	0.4221403573313515
