skew_type	skew_bin	ccre_class	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
K562_skew	[1.5,Inf)	dELS	68	1791	3204935	25747115	3.2329636650909954	2.541687446293817	4.174368147872149	1.6928572932704928	1.3457866316781217	2.061557840959692
K562_skew	[1.5,Inf)	non-cCRE	124	2758	3204935	25747115	2.747656086651103	2.2961418806845137	3.314121627762628	1.458201438969337	1.1992117901999284	1.7286265502208147
K562_skew	[1.5,Inf)	pELS	17	482	3204935	25747115	3.340191412572808	2.0909092034103494	5.684347205294525	1.739930779961871	1.0641304150438475	2.506994678447372
SKNSH_skew	(-Inf,-1.5)	Other cCREs	36	620	3204935	25747115	2.0892283172096953	1.4988835205203257	2.9957458174745124	1.0629701631120758	0.5838882746153551	1.5829152194489522
SKNSH_skew	(-Inf,-1.5)	PLS	5	361	3204935	25747115	7.510234721859103	3.4170720626082645	20.596871496544875	2.908857997855436	1.7727606730733902	4.364353314859758
SKNSH_skew	(-Inf,-1.5)	dELS	96	2204	3204935	25747115	2.8297755091336056	2.3085283579719817	3.5043970140736014	1.5006876061645842	1.2069734545680313	1.809166227504519
SKNSH_skew	(-Inf,-1.5)	non-cCRE	103	2398	3204935	25747115	2.8715365724920523	2.359160007997672	3.5286615587959536	1.5218229363075804	1.2382732714456297	1.8191210648976512
SKNSH_skew	(-Inf,-1.5)	pELS	15	359	3204935	25747115	2.8007703423706625	1.7010305603115785	4.9531049528839075	1.4858236901219475	0.7664090603510404	2.3083331910108775
SKNSH_skew	[-0.05,0.05)	Other cCREs	128651	877828	3204935	25747115	0.8440344319208618	0.8390281247122804	0.8490696834168574	-0.24462624080296527	-0.2532089234321917	-0.2360451338128456
SKNSH_skew	[-0.05,0.05)	PLS	3945	36958	3204935	25747115	1.1661484316925457	1.1283912059791883	1.20538309848936	0.22175143179552415	0.17426732755894	0.2694917410211979
SKNSH_skew	[-0.05,0.05)	dELS	240225	1982352	3204935	25747115	1.0294643790710156	1.024950562168367	1.0339759538597222	0.041893911537264544	0.03555432394084003	0.04820263473339116
SKNSH_skew	[-0.05,0.05)	non-cCRE	2092241	14345192	3204935	25747115	0.6691045892584285	0.6674557693779632	0.6707537074028617	-0.5796963554543487	-0.5832558587063897	-0.5761449712876018
SKNSH_skew	[-0.05,0.05)	pELS	37863	304378	3204935	25747115	1.0006505140149602	0.9899494506096204	1.011482292260295	9.381882241911335e-4	-0.014573235570588872	0.016471063255684443
SKNSH_skew	[-0.2,-0.05)	Other cCREs	19311	212668	3204935	25747115	1.3738679506778955	1.3537173082682261	1.3943955329412394	0.45824334618138035	0.4369264977458448	0.47963985279350174
SKNSH_skew	[-0.2,-0.05)	PLS	1380	19625	3204935	25747115	1.7695903662968173	1.6755329812773934	1.8702092457567592	0.8234154366314382	0.7446200849052799	0.9031996930687324
SKNSH_skew	[-0.2,-0.05)	dELS	41374	552890	3204935	25747115	1.6779399535036008	1.6611661778653783	1.6948962077633953	0.7466910886426936	0.732196403216164	0.7611969281522667
SKNSH_skew	[-0.2,-0.05)	non-cCRE	248788	2689854	3204935	25747115	1.3861637093399233	1.3802640927529668	1.3921143532282956	0.47109765336649007	0.4649443313896042	0.4772777241602719
