skew_type	skew_bin_coarse	ccre_class	indel_type	indel_len_coarse	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	< -0.5	Other cCREs	Deletion	5-9 bp	51	861	3204935	25747115	2.0634881843223845	1.5590089348913014	2.785311256646174	1.0450851773959264	0.6406291963400167	1.4778385567676469
HepG2_skew	< -0.5	Other cCREs	Deletion	10+ bp	64	1052	3204935	25747115	2.0165757827250217	1.5689620101358703	2.6323830126869043	1.0119076231041744	0.6498104202141562	1.3963694169996133
HepG2_skew	< -0.5	Other cCREs	Insertion	1 bp	41	806	3204935	25747115	2.3917913778639233	1.7535659799366417	3.3446498820285355	1.258091557074878	0.8102917146720326	1.741855197444352
HepG2_skew	< -0.5	Other cCREs	Insertion	2-4 bp	21	553	3204935	25747115	3.134617023545748	2.0494384949546802	5.043151134046624	1.648289190401376	1.0352286943614069	2.3343254608836572
HepG2_skew	< -0.5	Other cCREs	Insertion	5-9 bp	13	232	3204935	25747115	2.0716695743163127	1.2100979964821117	3.8486645348095805	1.0507939154232724	0.2751238849494689	1.9443579254853165
HepG2_skew	< -0.5	Other cCREs	Insertion	10+ bp	13	232	3204935	25747115	2.0716695743163127	1.2100979964821117	3.8486645348095805	1.0507939154232724	0.2751238849494689	1.9443579254853165
HepG2_skew	[-0.5,-0.2)	PLS	Deletion	1 bp	39	1820	3204935	25747115	5.667169100412247	4.145375603833948	7.959618155690042	2.5026282510951194	2.051502827230904	2.992699222464166
HepG2_skew	[-0.5,-0.2)	PLS	Deletion	2-4 bp	17	720	3204935	25747115	4.986127948555949	3.13223926323037	8.460645172021401	2.3179199041649037	1.647194420384943	3.0807676811922735
HepG2_skew	[-0.5,-0.2)	PLS	Deletion	5-9 bp	21	459	3204935	25747115	2.6027414619869274	1.6982220210228312	4.194607503980244	1.3800320116905833	0.7640250853276715	2.0685358217370906
HepG2_skew	[-0.5,-0.2)	PLS	Deletion	10+ bp	31	642	3204935	25747115	2.501258743125063	1.7539547832039637	3.6881366095559134	1.3226543050659987	0.810611555714081	1.8828920945630079
HepG2_skew	[-0.5,-0.2)	PLS	Insertion	1 bp	26	788	3204935	25747115	3.6375911756946158	2.4810749740980707	5.5561830186248775	1.8629834094158242	1.310965331814456	2.4740941219459724
HepG2_skew	[-0.5,-0.2)	PLS	Insertion	2-4 bp	28	588	3204935	25747115	2.5282173883832435	1.741725484882596	3.8083352821011465	1.3381205187596998	0.800517257227738	1.929160497692949
HepG2_skew	[-0.5,-0.2)	PLS	Insertion	5-9 bp	29	550	3204935	25747115	2.2862657924236562	1.5831452970626387	3.4215634661191063	1.1929931354513468	0.6627936684455704	1.7746557079750662
HepG2_skew	[-0.5,-0.2)	PLS	Insertion	10+ bp	56	920	3204935	25747115	2.011329233657725	1.5384543702742415	2.6767454307237832	1.008149255133182	0.6214816547502376	1.4204799393910787
HepG2_skew	[-0.5,-0.2)	pELS	Deletion	1 bp	149	5863	3204935	25747115	4.8671220824354915	4.138773006075103	5.7618020139366255	2.283068962312189	2.049203125110819	2.5265200877072274
HepG2_skew	[-0.5,-0.2)	pELS	Deletion	2-4 bp	134	3251	3204935	25747115	2.9987784866950538	2.5239462172202027	3.588999556609022	1.5843749573685582	1.335681168253743	1.843581744921055
HepG2_skew	[-0.5,-0.2)	pELS	Deletion	5-9 bp	77	1636	3204935	25747115	2.612535623016301	2.0811515310293442	3.3224246480928072	1.385450709078142	1.0573820131778362	1.732236479845896
HepG2_skew	[-0.5,-0.2)	pELS	Deletion	10+ bp	99	1632	3204935	25747115	2.032781760097576	1.6604403789997872	2.513111273371419	1.0234553354356095	0.7315659212955572	1.3294745510383432
HepG2_skew	[-0.5,-0.2)	pELS	Insertion	1 bp	74	2153	3204935	25747115	3.5752104421362465	2.839843378969561	4.563722686404968	1.8380281635388307	1.5058113654290095	2.190211129246351
HepG2_skew	[-0.5,-0.2)	pELS	Insertion	2-4 bp	94	1623	3204935	25747115	2.127982771714387	1.7295848976002426	2.6456883825536126	1.0894864707343885	0.7904258309070092	1.4036431464921242
HepG2_skew	[-0.5,-0.2)	pELS	Insertion	5-9 bp	85	1251	3204935	25747115	1.812199350138984	1.4558154454855674	2.2817645574584393	0.8577416671046784	0.5418274758946217	1.1901499356621168
HepG2_skew	[-0.5,-0.2)	pELS	Insertion	10+ bp	262	2583	3204935	25747115	1.2229824738325508	1.0769004740785866	1.3937971181826558	0.29040372921604457	0.10688492380220803	0.479020577064824
HepG2_skew	[-0.5,-0.2)	dELS	Deletion	1 bp	939	34789	3204935	25747115	4.611873166989127	4.322390829199419	4.925993703596961	2.205352837388664	2.1118295261205158	2.30041478378587
HepG2_skew	[-0.5,-0.2)	dELS	Deletion	2-4 bp	788	20465	3204935	25747115	3.2306166325054244	3.008615293044573	3.472912826658033	1.6918095605078665	1.5890996432948064	1.7961461981871676
HepG2_skew	[-0.5,-0.2)	dELS	Deletion	5-9 bp	441	8854	3204935	25747115	2.4942897705700093	2.266779075478067	2.7505242194456416	1.3186290779503387	1.1806437901772655	1.4597066065354256
HepG2_skew	[-0.5,-0.2)	dELS	Deletion	10+ bp	471	7859	3204935	25747115	2.0731930735474773	1.8890340970785973	2.2798041249223333	1.0518544788586928	0.9176487426168297	1.188909876959112
HepG2_skew	[-0.5,-0.2)	dELS	Insertion	1 bp	497	10322	3204935	25747115	2.5809189363782394	2.358594784653525	2.8296249185729634	1.367884828792703	1.2379275794987878	1.5006108290367348
HepG2_skew	[-0.5,-0.2)	dELS	Insertion	2-4 bp	498	8554	3204935	25747115	2.1344566597321766	1.9499779188142297	2.3406859848936103	1.0938688688754272	0.9634577872581808	1.2269314024450482
HepG2_skew	[-0.5,-0.2)	dELS	Insertion	5-9 bp	391	5959	3204935	25747115	1.8927716294344752	1.7086310179974915	2.1018554922138604	0.9205003545400555	0.7728408780089512	1.0716634838419319
HepG2_skew	[-0.5,-0.2)	dELS	Insertion	10+ bp	1519	13114	3204935	25747115	1.0740723616465302	1.018420462067148	1.133395342784758	0.10309119283159458	0.02633331121977588	0.18065117941896286
