skew_type	skew_bin_coarse	ccre_class	indel_type	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	> 0.5	dELS	Deletion	399	13108	3204935	25747115	4.081008637325784	3.6944594760836638	4.519305448093255	2.0289257640176963	1.8853633039609876	2.176101068307265
HepG2_skew	> 0.5	dELS	Insertion	522	7676	3204935	25747115	1.8274230941735998	1.6722660720814189	2.00049404808161	0.8698106926406447	0.7418044110150637	1.0003563363486392
HepG2_skew	> 0.5	non-cCRE	Deletion	821	25836	3204935	25747115	3.915487842537551	3.6525426490199298	4.202038896241706	1.9691920684775033	1.868901118797514	2.0710895164029868
HepG2_skew	> 0.5	non-cCRE	Insertion	1163	16732	3204935	25747115	1.7899299663220412	1.6865619885462635	1.9010847811435476	0.8399031409998798	0.7540853446974468	0.9268228721274234
HepG2_skew	> 0.5	Other cCREs	Deletion	118	3797	3204935	25747115	3.9732593997205696	3.3100451996112	4.809749447590845	1.9903229848365314	1.7268509175792304	2.2659617422005183
HepG2_skew	> 0.5	Other cCREs	Insertion	185	2404	3204935	25747115	1.6095638015307694	1.3860174936718859	1.878655845158358	0.6866697649657671	0.47094546661971876	0.9097008006808274
K562_skew	< -0.5	PLS	Deletion	68	2921	3204935	25747115	5.271837195378443	4.1526438440017905	6.794249868383669	2.3983058177953476	2.0540301427653263	2.764314276393336
K562_skew	< -0.5	PLS	Insertion	31	1138	3204935	25747115	4.4307737891520365	3.1208458485005086	6.509352171517092	2.147558672660169	1.6419370983349053	2.7025139695896807
K562_skew	< -0.5	pELS	Deletion	196	5710	3204935	25747115	3.6091637073255236	3.1307411858863494	4.181563010637812	1.8516645836314312	1.6465042477702063	2.064042302643316
K562_skew	< -0.5	pELS	Insertion	67	2116	3204935	25747115	3.875515020501904	3.044002799025733	5.009542712234428	1.9543880441034558	1.6059696854310404	2.3246789154161394
K562_skew	< -0.5	dELS	Deletion	1066	30372	3204935	25747115	3.546355714612162	3.3362104627490496	3.773081312333204	1.8263372519637924	1.7382103031671323	1.9157431914906746
K562_skew	< -0.5	dELS	Insertion	405	9402	3204935	25747115	2.8836004723285256	2.610620565220426	3.1925542496399753	1.5278712906124226	1.384392787618642	1.6747111352049269
K562_skew	< -0.5	non-cCRE	Deletion	2041	48857	3204935	25747115	2.982078866745167	2.852682711311253	3.1185932982175912	1.5763184129391143	1.512319292565117	1.640895420329147
K562_skew	< -0.5	non-cCRE	Insertion	773	13672	3204935	25747115	2.1995802569124137	2.045735807440834	2.367815656894316	1.1372282423651736	1.0326198430767506	1.2435567662553981
K562_skew	< -0.5	Other cCREs	Deletion	402	9781	3204935	25747115	3.02220614515774	2.73536404068621	3.347287275345015	1.5956020703152958	1.4517328493770891	1.7429923732324926
K562_skew	< -0.5	Other cCREs	Insertion	152	2928	3204935	25747115	2.3831300804322026	2.025062032941361	2.8222647539145775	1.2528577015376612	1.0179661021928832	1.4968533321036561
K562_skew	[-0.5,-0.2)	PLS	Deletion	187	4387	3204935	25747115	2.9056839906159837	2.5104509551870193	3.3804966764128217	1.5388778103481064	1.3279465404211825	1.7572352287428754
K562_skew	[-0.5,-0.2)	PLS	Insertion	148	3326	3204935	25747115	2.779671944464925	2.3584281962193465	3.2979030092060007	1.4749146268261677	1.2378256778082797	1.7215489699715212
K562_skew	[-0.5,-0.2)	pELS	Deletion	770	14730	3204935	25747115	2.379101926011778	2.2127994524400103	2.5611050453086324	1.2504170813476418	1.1458727046043982	1.3567664271789837
K562_skew	[-0.5,-0.2)	pELS	Insertion	471	8112	3204935	25747115	2.1399496265588125	1.95002562274533	2.3530726628527696	1.0975768366408438	0.9634930806747634	1.2345458716539024
K562_skew	[-0.5,-0.2)	dELS	Deletion	4311	81160	3204935	25747115	2.347179271483868	2.276359350592069	2.42068447281839	1.2309280353862628	1.1867283223169511	1.2754150416803791
K562_skew	[-0.5,-0.2)	dELS	Insertion	2524	38052	3204935	25747115	1.8772329298384736	1.8030417786828794	1.9552885197624015	0.9086076730102317	0.8504328261658672	0.9673815053937787
K562_skew	[-0.5,-0.2)	non-cCRE	Deletion	15323	252086	3204935	25747115	2.058070906439393	2.02469620512	2.0921607962828257	1.041292688065826	1.0177054555299927	1.064993736424723
K562_skew	[-0.5,-0.2)	non-cCRE	Insertion	8818	113076	3204935	25747115	1.5986760368280208	1.564350392397208	1.633889458811203	0.6768776139811689	0.645563692156844	0.70831038090128
K562_skew	[-0.5,-0.2)	Other cCREs	Deletion	1750	28752	3204935	25747115	2.045198704500511	1.9487674055794975	2.14744694057417	1.032241017284922	0.9625619085323399	1.1026224854889095
K562_skew	[-0.5,-0.2)	Other cCREs	Insertion	901	13076	3204935	25747115	1.805055673816636	1.687046183345012	1.9331918415441576	0.8520433352290581	0.754499468332548	0.9509848114297853
K562_skew	[-0.2,-0.05)	PLS	Deletion	751	9922	3204935	25747115	1.6427872704553546	1.5252115154159958	1.771574298964512	0.7161456733925448	0.60900932863066215	0.8250319726534318
K562_skew	[-0.2,-0.05)	PLS	Insertion	622	8164	3204935	25747115	1.6315941735291002	1.5036799130534362	1.7729322720570067	0.7062822603457448	0.5884974945440415	0.8261374247680222
