skew_type	skew_bin	ccre_class	indel_class	n
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_10plus	26974
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_2	37297
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_3	29187
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_4	28274
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_5	10524
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_6	6923
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_7	5198
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_8	7581
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_9	2035
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_1	35400
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_10plus	43755
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_2	16065
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_3	12122
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_4	19471
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_5	8818
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_6	9669
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_7	5345
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_8	8597
HepG2_skew	[-0.2,-0.05)	Other cCREs	ins_9	8228
HepG2_skew	[-0.2,-0.05)	PLS	del_1	12251
HepG2_skew	[-0.2,-0.05)	PLS	del_10plus	2208
HepG2_skew	[-0.2,-0.05)	PLS	del_2	2105
HepG2_skew	[-0.2,-0.05)	PLS	del_3	1350
HepG2_skew	[-0.2,-0.05)	PLS	del_4	1002
HepG2_skew	[-0.2,-0.05)	PLS	del_5	511
HepG2_skew	[-0.2,-0.05)	PLS	del_6	474
HepG2_skew	[-0.2,-0.05)	PLS	del_7	374
HepG2_skew	[-0.2,-0.05)	PLS	del_8	442
HepG2_skew	[-0.2,-0.05)	PLS	del_9	214
HepG2_skew	[-0.2,-0.05)	PLS	ins_1	5523
HepG2_skew	[-0.2,-0.05)	PLS	ins_10plus	4451
HepG2_skew	[-0.2,-0.05)	PLS	ins_2	2027
HepG2_skew	[-0.2,-0.05)	PLS	ins_3	1817
HepG2_skew	[-0.2,-0.05)	PLS	ins_4	1921
HepG2_skew	[-0.2,-0.05)	PLS	ins_5	1348
HepG2_skew	[-0.2,-0.05)	PLS	ins_6	1496
HepG2_skew	[-0.2,-0.05)	PLS	ins_7	747
HepG2_skew	[-0.2,-0.05)	PLS	ins_8	697
HepG2_skew	[-0.2,-0.05)	PLS	ins_9	992
HepG2_skew	[-0.2,-0.05)	dELS	del_1	448504
HepG2_skew	[-0.2,-0.05)	dELS	del_10plus	60798
HepG2_skew	[-0.2,-0.05)	dELS	del_2	101640
HepG2_skew	[-0.2,-0.05)	dELS	del_3	71499
HepG2_skew	[-0.2,-0.05)	dELS	del_4	65875
HepG2_skew	[-0.2,-0.05)	dELS	del_5	24168
HepG2_skew	[-0.2,-0.05)	dELS	del_6	16808
HepG2_skew	[-0.2,-0.05)	dELS	del_7	13221
HepG2_skew	[-0.2,-0.05)	dELS	del_8	17335
HepG2_skew	[-0.2,-0.05)	dELS	del_9	5470
HepG2_skew	[-0.2,-0.05)	dELS	ins_1	107601
HepG2_skew	[-0.2,-0.05)	dELS	ins_10plus	84141
HepG2_skew	[-0.2,-0.05)	dELS	ins_2	44786
HepG2_skew	[-0.2,-0.05)	dELS	ins_3	32354
HepG2_skew	[-0.2,-0.05)	dELS	ins_4	47559
HepG2_skew	[-0.2,-0.05)	dELS	ins_5	22833
HepG2_skew	[-0.2,-0.05)	dELS	ins_6	23989
HepG2_skew	[-0.2,-0.05)	dELS	ins_7	12879
HepG2_skew	[-0.2,-0.05)	dELS	ins_8	16570
HepG2_skew	[-0.2,-0.05)	dELS	ins_9	17355
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_1	1961970
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_10plus	341358
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_2	493326
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_3	428716
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_4	467067
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_5	200927
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_6	105008
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_7	77299
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_8	94954
HepG2_skew	[-0.2,-0.05)	non-cCRE	del_9	29889
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_1	363183
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_10plus	632312
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_2	167862
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_3	139429
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_4	215795
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_5	122376
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_6	126223
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_7	73659
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_8	98600
HepG2_skew	[-0.2,-0.05)	non-cCRE	ins_9	114361
HepG2_skew	[-0.2,-0.05)	pELS	del_1	67611
HepG2_skew	[-0.2,-0.05)	pELS	del_10plus	10358
HepG2_skew	[-0.2,-0.05)	pELS	del_2	15679
HepG2_skew	[-0.2,-0.05)	pELS	del_3	11072
HepG2_skew	[-0.2,-0.05)	pELS	del_4	9945
HepG2_skew	[-0.2,-0.05)	pELS	del_5	3874
HepG2_skew	[-0.2,-0.05)	pELS	del_6	2843
HepG2_skew	[-0.2,-0.05)	pELS	del_7	2237
HepG2_skew	[-0.2,-0.05)	pELS	del_8	2940
HepG2_skew	[-0.2,-0.05)	pELS	del_9	1017
HepG2_skew	[-0.2,-0.05)	pELS	ins_1	21346
HepG2_skew	[-0.2,-0.05)	pELS	ins_10plus	15055
HepG2_skew	[-0.2,-0.05)	pELS	ins_2	8227
HepG2_skew	[-0.2,-0.05)	pELS	ins_3	6325
HepG2_skew	[-0.2,-0.05)	pELS	ins_4	8823
HepG2_skew	[-0.2,-0.05)	pELS	ins_5	4221
HepG2_skew	[-0.2,-0.05)	pELS	ins_6	4796
HepG2_skew	[-0.2,-0.05)	pELS	ins_7	2429
HepG2_skew	[-0.2,-0.05)	pELS	ins_8	2879
