skew_type	skew_bin	ccre_class	af_class	n
HepG2_skew	[0.05,0.2)	PLS	ULTRARARE	13972
HepG2_skew	[0.05,0.2)	dELS	COMMON	52054
HepG2_skew	[0.05,0.2)	dELS	LOW_FREQ	54286
HepG2_skew	[0.05,0.2)	dELS	RARE	104177
HepG2_skew	[0.05,0.2)	dELS	SINGLETON	559059
HepG2_skew	[0.05,0.2)	dELS	ULTRARARE	398661
HepG2_skew	[0.05,0.2)	non-cCRE	COMMON	316875
HepG2_skew	[0.05,0.2)	non-cCRE	LOW_FREQ	319438
HepG2_skew	[0.05,0.2)	non-cCRE	RARE	593350
HepG2_skew	[0.05,0.2)	non-cCRE	SINGLETON	2554555
HepG2_skew	[0.05,0.2)	non-cCRE	ULTRARARE	1950242
HepG2_skew	[0.05,0.2)	pELS	COMMON	8968
HepG2_skew	[0.05,0.2)	pELS	LOW_FREQ	9460
HepG2_skew	[0.05,0.2)	pELS	RARE	18681
HepG2_skew	[0.05,0.2)	pELS	SINGLETON	98865
HepG2_skew	[0.05,0.2)	pELS	ULTRARARE	71834
HepG2_skew	[0.2,0.5)	Other cCREs	COMMON	2095
HepG2_skew	[0.2,0.5)	Other cCREs	LOW_FREQ	2517
HepG2_skew	[0.2,0.5)	Other cCREs	RARE	5552
HepG2_skew	[0.2,0.5)	Other cCREs	SINGLETON	34245
HepG2_skew	[0.2,0.5)	Other cCREs	ULTRARARE	23063
HepG2_skew	[0.2,0.5)	PLS	COMMON	254
HepG2_skew	[0.2,0.5)	PLS	LOW_FREQ	305
HepG2_skew	[0.2,0.5)	PLS	RARE	855
HepG2_skew	[0.2,0.5)	PLS	SINGLETON	5097
HepG2_skew	[0.2,0.5)	PLS	ULTRARARE	3500
HepG2_skew	[0.2,0.5)	dELS	COMMON	5358
HepG2_skew	[0.2,0.5)	dELS	LOW_FREQ	6758
HepG2_skew	[0.2,0.5)	dELS	RARE	15244
HepG2_skew	[0.2,0.5)	dELS	SINGLETON	101572
HepG2_skew	[0.2,0.5)	dELS	ULTRARARE	66447
HepG2_skew	[0.2,0.5)	non-cCRE	COMMON	17592
HepG2_skew	[0.2,0.5)	non-cCRE	LOW_FREQ	21334
HepG2_skew	[0.2,0.5)	non-cCRE	RARE	47570
HepG2_skew	[0.2,0.5)	non-cCRE	SINGLETON	291649
HepG2_skew	[0.2,0.5)	non-cCRE	ULTRARARE	192264
HepG2_skew	[0.2,0.5)	pELS	COMMON	980
HepG2_skew	[0.2,0.5)	pELS	LOW_FREQ	1360
HepG2_skew	[0.2,0.5)	pELS	RARE	3030
HepG2_skew	[0.2,0.5)	pELS	SINGLETON	20116
HepG2_skew	[0.2,0.5)	pELS	ULTRARARE	13354
HepG2_skew	[0.5,1.0)	Other cCREs	COMMON	255
HepG2_skew	[0.5,1.0)	Other cCREs	LOW_FREQ	339
HepG2_skew	[0.5,1.0)	Other cCREs	RARE	870
HepG2_skew	[0.5,1.0)	Other cCREs	SINGLETON	5136
HepG2_skew	[0.5,1.0)	Other cCREs	ULTRARARE	3584
HepG2_skew	[0.5,1.0)	PLS	COMMON	30
HepG2_skew	[0.5,1.0)	PLS	LOW_FREQ	40
HepG2_skew	[0.5,1.0)	PLS	RARE	115
HepG2_skew	[0.5,1.0)	PLS	SINGLETON	931
HepG2_skew	[0.5,1.0)	PLS	ULTRARARE	585
HepG2_skew	[0.5,1.0)	dELS	COMMON	734
HepG2_skew	[0.5,1.0)	dELS	LOW_FREQ	1030
HepG2_skew	[0.5,1.0)	dELS	RARE	2424
HepG2_skew	[0.5,1.0)	dELS	SINGLETON	17069
HepG2_skew	[0.5,1.0)	dELS	ULTRARARE	10975
HepG2_skew	[0.5,1.0)	non-cCRE	COMMON	1627
HepG2_skew	[0.5,1.0)	non-cCRE	LOW_FREQ	2140
HepG2_skew	[0.5,1.0)	non-cCRE	RARE	5118
HepG2_skew	[0.5,1.0)	non-cCRE	SINGLETON	35589
HepG2_skew	[0.5,1.0)	non-cCRE	ULTRARARE	22463
HepG2_skew	[0.5,1.0)	pELS	COMMON	129
HepG2_skew	[0.5,1.0)	pELS	LOW_FREQ	169
HepG2_skew	[0.5,1.0)	pELS	RARE	526
HepG2_skew	[0.5,1.0)	pELS	SINGLETON	3601
HepG2_skew	[0.5,1.0)	pELS	ULTRARARE	2298
HepG2_skew	[1.0,1.5)	Other cCREs	COMMON	40
HepG2_skew	[1.0,1.5)	Other cCREs	LOW_FREQ	69
HepG2_skew	[1.0,1.5)	Other cCREs	RARE	151
HepG2_skew	[1.0,1.5)	Other cCREs	SINGLETON	844
HepG2_skew	[1.0,1.5)	Other cCREs	ULTRARARE	582
HepG2_skew	[1.0,1.5)	PLS	COMMON	5
HepG2_skew	[1.0,1.5)	PLS	LOW_FREQ	5
HepG2_skew	[1.0,1.5)	PLS	RARE	21
HepG2_skew	[1.0,1.5)	PLS	SINGLETON	122
HepG2_skew	[1.0,1.5)	PLS	ULTRARARE	74
HepG2_skew	[1.0,1.5)	dELS	COMMON	161
HepG2_skew	[1.0,1.5)	dELS	LOW_FREQ	210
HepG2_skew	[1.0,1.5)	dELS	RARE	508
HepG2_skew	[1.0,1.5)	dELS	SINGLETON	2835
HepG2_skew	[1.0,1.5)	dELS	ULTRARARE	1934
HepG2_skew	[1.0,1.5)	non-cCRE	COMMON	275
HepG2_skew	[1.0,1.5)	non-cCRE	LOW_FREQ	376
HepG2_skew	[1.0,1.5)	non-cCRE	RARE	892
HepG2_skew	[1.0,1.5)	non-cCRE	SINGLETON	5306
HepG2_skew	[1.0,1.5)	non-cCRE	ULTRARARE	3515
HepG2_skew	[1.0,1.5)	pELS	COMMON	21
HepG2_skew	[1.0,1.5)	pELS	LOW_FREQ	41
HepG2_skew	[1.0,1.5)	pELS	RARE	94
HepG2_skew	[1.0,1.5)	pELS	SINGLETON	655
HepG2_skew	[1.0,1.5)	pELS	ULTRARARE	387
HepG2_skew	[1.5,Inf)	Other cCREs	COMMON	8
